Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
London-North-Western-North	0959	NW5003	STY	Wilmslow South Jn – Heald Green South Jn	0	00	2	50	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5003	STY	Heald Green South Jn – Heald Green North Jn	2	50	3	13	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5003	STY	Heald Green North Jn – Slade Lane Jn	3	13	9	44	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5005	SMA	Heald Green South Jn – Heald Green West Jn	1	48	1	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5007	MIA	Manchester Airport – Heald Green North Jn	0	00	1	51	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5008	LEC6	Little Bridgeford Jn – Searchlight Lane Jn (Change of ELR and mileage) (Up line only)	137	42	138	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5008	NBS	Searchlight Lane Jn (Change of ELR and mileage) – Stone Jn	4	06	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5008	NBS1	Norton Bridge Jn – Yamfield Jn (Norton Bridge East Chord)	4	14	2	50	-	N	N	N	N	N	Y	N	N	
London-North-Western-North	0959	NW5009	CMD2	Colwich Jn – Stone Jn	38	61	27	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5009	CMD2	Stone Jn – Stoke Jn	27	00	20	36	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5009	CMD2	Stoke Jn – Glebe Street Jn	20	36	20	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5009	CMD2	Glebe Street Jn – Change of ELR	20	10	15	65	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5009	CMD1	Change of ELR – Kidsgrove Jn	16	00	13	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5009	CMD1	Kidsgrove Jn – Macclesfield Hibel Road (Change of ELR )	13	68	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5009	MCH	Macclesfield Hibel Road (Change of ELR) – Cheadle Hulme North Jn	9	37	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	6	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0959	NW5010	SCQ1	Change of Mileage – Change of Mileage (Site of Former Milton Jn)	0	00	3	51	6	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0959	NW5010	SCQ2	Change of Mileage (Site of Former Milton Jn) – Change of Mileage (Site of Former Leek Brook Jn)	0	00	6	65	6	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0959	NW5010	SCQ3	Change of Mileage (Site of Former Leek Brook Jn) – Caldon Quarry	0	00	8	01	6	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0959	NW5011	HNS	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5012	NSS	Route Boundary (LN3505) (North Stafford Jn) – Stoke Jn	1	40	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5013	DJO1	Denton Jn – Change of Mileage (Site of Former Crowthorne Jn)	4	10	5	28	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0959	NW5013	DJO2	Change of Mileage (Site of Former Crowthorne Jn) – Change of Mileage (Site of Former Ashton Moss South Jn)	0	53	1	19	8	Y	Y	Y	Y	Y	Y	Y	Y	
