Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Western-North	1036	NW8005	SJO1	Sandhills Jn – Walton Jn	34	75	33	16	7	Y	
London-North-Western-North	1036	NW8005	SJO2	Walton Jn – Ormskirk	3	20	12	13	8	Y	
London-North-Western-North	1036	NW8007	HXS/N MM	Bootle Jn – Change of ELR (Site of former North Mersey Jn)	2	34	3	52	7	Y	
London-North-Western-North	1036	NW8007	NMB	Change of ELR (Site of former North Mersey Jn) – Change of ELR (Site of Former Sefton Jn)	34	40	32	42	7	Y	
London-North-Western-North	1036	NW8007	AFL	Change of ELR (Site of Former Sefton Jn) – Aintree Station Jn	0	00	0	40	7	Y	
London-North-Western-North	1036	NW8009	WJK	Walton Jn – Kirkby	33	16	29	41	8	Y	
London-North-Western-North	1036	NW8011	MIR1	Mann Island Jn – Mann Island Jn via Loop	0	00	2	12	8	N	
London-North-Western-North	1036	NW8011	MIR2	Mann Island Jn – Hamilton Square Jn	0	69	1	72	8	N	
London-North-Western-North	1036	NW8011	CWK1	Hamilton Square Jn – Change of ELR (Birkenhead Park)	1	72	3	00	8	N	
London-North-Western-North	1036	NW8011	CWK2	Change of ELR (Birkenhead Park) – Bidston East Jn	3	00	4	40	8	R1	R1 Prohibited between Change of ELR (Birkenhead Park) and Birkenhead North on the Down West Kirby line
London-North-Western-North	1036	NW8011	CWK3	Bidston East Jn – Bidston Dee Jn	4	40	4	78	8	Y	
London-North-Western-North	1036	NW8011	CWK3	Bidston Dee Jn – West Kirby	4	78	10	46	8	Y	
London-North-Western-North	1036	NW8013	MIR2	Canning Street Jn – Rock Ferry	1	60	3	42	8	R1	R1 Prohibited Rock Ferry platform 1 (Down Chester line)
London-North-Western-North	1036	NW8013	CRR2	Rock Ferry – Hooton South Jn	13	43	7	68	8	Y	
London-North-Western-North	1036	NW8015	BEN	Bidston East Jn – New Brighton (New Brighton lines)	4	40	7	18	6	R1 R2	R1 Prohibited Wallasey Grove Road Down platform (Down New Brighton line) R2 Prohibited New Brighton platform 1 (Down New Brighton line)
London-North-Western-North	1036	NW8017	CCS1/ 2	Network Rail Boundary (Canning Street North) – Rock Ferry South Jn	15	40	13	30	8	Y	
London-North-Western-North	1036	NW9001	MAS	Route Boundary (LN808) (Dore West Jn) – Chinley North Jn	154	20	174	01	8	Y	
London-North-Western-North	1036	NW9001	TTA1	Chinley North Jn – New Mills South Jn	168	39	172	27	8	R1 R2	R1 Prohibited between Earles Sidings and Edale on the Down Main line R2 Prohibited between Chinley and New Mills South Jn on the Up Main line
London-North-Western-North	1036	NW9001	NMC1	New Mills South Jn – Hazel Grove High Level Jn	172	27	177	40	8	Y	
London-North-Western-North	1036	NW9001	HGC	Hazel Grove High Level Jn – Hazel Grove East Jn	2	62	2	35	8	Y	
London-North-Western-North	1036	NW9001	BEJ	Hazel Grove East Jn (Limit of electrification) – Edgeley Jn No.1	2	35	0	00	8	Y	
