Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Western-North	1035	NW7015	PRG	End of Line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	7	Y	
London-North-Western-North	1035	NW7017	GJC	Gannow Jn – Colne	21	03	27	37	8	Y	
London-North-Western-North	1035	NW7019	MPR2	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	8	N	
London-North-Western-North	1035	NW7021	MVM	Miles Platting – Change of ELR	1	22	1	30	8	Y	
London-North-Western-North	1035	NW7021	MVL1	Miles Platting Jn – Philips Park West Jn	1	30	1	59	8	Y	
London-North-Western-North	1035	NW7021	MVL1	Philips Park West Jn – Baguley Fold Jn	1	59	2	39	8	Y	
London-North-Western-North	1035	NW7021	MVL1	Baguley Fold Jn – Ashton Moss North Jn	2	39	5	41	8	Y	
London-North-Western-North	1035	NW7021	MVL1	Ashton Moss North Jn – Stalybridge Jn	5	41	7	46	8	R1	R1 Prohibited between Ashton Moss North Jn and Ashton on the Up Ashton line
London-North-Western-North	1035	NW7021	MVL2	Stalybridge Jn – Stalybridge Tunnel Jn	7	46	8	08	8	Y	
London-North-Western-North	1035	NW7021	MVL3	Stalybridge Tunnel Jn – Route Boundary (LN860) (Springwood Jn)	8	08	15	11	8	R1 R2	R1 Prohibited Mossley Down Huddersfield platform R2 Prohibited between Mossley and Greenfield on the Up Huddersfield line
London-North-Western-North	1035	NW7023	BPP	Philips Park West Jn – Brewery Jn	0	00	0	18	8	Y	
London-North-Western-North	1035	NW7025	PPA1	Philips Park West Jn – Philips Park South Jn	1	59	2	07	8	Y	
London-North-Western-North	1035	NW7025	PPA1	Philips Park South Jn – Change of Mileage	2	07	3	12	7	Y	
London-North-Western-North	1035	NW7025	PPA2	Change of Mileage – Ashburys West Jn	0	57	0	00	7	Y	
London-North-Western-North	1035	NW7027	PPP1	Baguley Fold Jn – Change of Mileage	2	39	2	13	8	Y	
London-North-Western-North	1035	NW7027	PPP2	Change of Mileage – Philips Park South Jn	0	00	0	19	8	Y	
London-North-Western-North	1035	NW8001	HXS1	Hunts Cross West Jn – Liverpool Central	6	11	0	02	8	N	
London-North-Western-North	1035	NW8001	HXS2	Liverpool Central. – Paradise Jn	37	13	36	71	8	N	
London-North-Western-North	1035	NW8001	HXS2	Paradise Jn – Sandhills Jn	36	71	34	75	8	N	
London-North-Western-North	1035	NW8001	HXS3	Sandhills Jn – Bootle Jn	1	41	2	39	8	Y	
London-North-Western-North	1035	NW8001	HXS3	Bootle Jn – Southport	2	39	18	35	8	R1 R2	R1 Prohibited Blundellsands & Crosby Down platform (Down Southport line) R2 Prohibited Blundellsands & Crosby Up platform (Up Southport line)
London-North-Western-North	1035	NW8003	SIL	Paradise Jn – James Street (Stock Interchange/Holding line)	0	32	0	53	8	N	
