Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-North	1052	NW4001	CGJ6	Preston – Preston North Jn	0	00	0	21	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	CGJ6	Preston Fylde Jn – Lancaster	0	33	20	78	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	CGJ7	Lancaster – Carnforth North Jn	0	00	6	08	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	CGJ7	Carnforth North Jn – Oxenholme	6	08	19	11	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	CGJ7	Oxenholme – Upperby Jn	19	11	68	23	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	CGJ7	Upperby Jn – Carlisle	68	23	69	09	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	UCJ	Upperby Bridge Jn – Upperby Jn	0	00	0	38	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	WCM1	Carlisle – Mossband Jn (Including Kingmoor Yard Goods lines)	0	00	7	57	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	WCM1	Mossband Jn – Gretna Jn	7	57	8	57	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4001	WCM1	Gretna Jn – Route Boundary (SC001)	8	57	12	30	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4003	PDB	Preston Fylde Jn – End of line	0	00	1	59	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4005	PBN	Preston Fylde Jn – Kirkham North Jn	0	33	8	28	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4005	PBN	Kirkham North Jn – Poulton Jn	8	28	14	40	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4005	PBN	Poulton Jn – Blackpool North	14	40	17	49	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4007	KBS1	Kirkham North Jn – Blackpool South	8	28	20	00	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4009	WPS	Poulton – Burn Naze (End of Branch)	14	40	18	08	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4011	MSM	Morecambe South Jn – Morecambe Buffer Stops	0	00	2	12	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4013	HBL	Hest Bank Jn – Bare Lane Jn	0	00	1	30	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4017	MHH	Morecambe Jn – Heysham Port	0	00	4	01	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4019	OXW	Oxenholme – Windermere	0	00	10	15	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4021	UCJ	Upperby Jn – Bog Jn	0	38	1	07	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4021	UCJ	Bog Jn – Rome Street Jn	1	07	1	23	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4023	ULR	Upperby Jn – London Road Jn	0	00	0	34	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4025	MCG	Currock Jn – Change of ELR (Site of former Forks Jn)	0	00	0	29	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4025	SCG	Change of ELR (Site of former Forks Jn) – Bog Jn	0	29	0	44	N	N	N	N	N	N	N	
London-North-Western-North	1052	NW4027	BSN	Bruntill Branch Jn – Stainton Jn via Down and Up Brunthill Branch Siding	0	66	0	2	N	N	N	N	N	N	N	
