London-North-Western-North	0879	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	317	319	321	322	323	325	350	Notes
London-North-Western-North	0879	NW5021	SAJ	Stalybridge Jn	Guide Bridge West Jn	Stalybridge Jn – Guide Bridge West Jn	2	08	0	04	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6001	COL	Manchester Piccadilly East Jn	Castlefield Jn	Manchester Piccadilly East Jn – Castlefield Jn	188	48	189	67	N	Y	Y	Y	Y	H	R1	R1 Prohibited with more than 2 pantographs raised
London-North-Western-North	0879	NW6001	COL	Castlefield Jn	Ordsall Lane Jn	Castlefield Jn – Ordsall Lane Jn	189	67	190	28	N	Y	N	N	N	Y	R1	R1 Prohibited with more than 2 pantographs raised
London-North-Western-North	0879	NW6001	OLW	Ordsall Lane Jn	Windsor Bridge South Jn	Ordsall Lane Jn – Windsor Bridge South Jn	190	28	191	01	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6001	MVE1	Windsor Bridge South Jn	Windsor Bridge North Jn	Windsor Bridge South Jn – Windsor Bridge North Jn	1	55	1	66	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6001	MVE1	Windsor Bridge North Jn	Bolton West Jn	Windsor Bridge North Jn – Bolton West Jn	1	66	10	55	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6001	MVE2	Bolton West Jn	Lostock Jn	Bolton West Jn – Lostock Jn	10	55	13	39	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6001	MVE2	Lostock Jn	Euxton Jn	Lostock Jn –Euxton Jn	13	39	25	31	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6003	MAJ	Castlefield Jn	Trafford Park Sidings (Limit of Electrification)	Castlefield Jn - Trafford Park Sidings (Limit of Electrification)	33	57	31	35	N	N	Y	Y	Y	H	N	
London-North-Western-North	0879	NW6003	MAJ	Trafford Park Sidings (Limit of Electrification) -Hunts Cross		Trafford Park Sidings (Limit of Electrification) -Hunts Cross	31	35	7	07	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6003	MAJ	Hunts Cross -Hunts Cross West Jn		Hunts Cross -Hunts Cross West Jn	7	07	6	11	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6003	AHX	Hunts Cross West Jn	Allerton Jn	Hunts Cross West Jn – Allerton Jn	0	37	0	00	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6004	OCD	Water Street Jn	Irwell Street Jn (Change of Mileage and ELR)	Water Street Jn – Irwell Street Jn (Change of Mileage and ELR)	190	05	190	34	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0879	NW6004	DSE	Irwell Street Jn (Change of Mileage and ELR)	Deal Street Jn (Ordsall Curve lines)	Irwell Street Jn (Change of Mileage and ELR) – Deal Street Jn (Ordsall Curve lines)	30	64	31	18	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0879	NW6005	MVM	Manchester Victoria East Jn	Manchester Victoria	Manchester Victoria East Jn – Manchester Victoria	0	09	0	00	EH	Y	N	N	N	H	N	
London-North-Western-North	0879	NW6005	MVE1	Manchester Victoria	Deal Street Jn (Chat Moss Lines)	Manchester Victoria – Deal Street Jn (Chat Moss Lines)	0	00	0	32	EH	R1	N	N	N	H	N	R1 Prohibited Manchester platforms 1 & 2
London-North-Western-North	0879	NW6005	MVE1	Deal Street Jn	Windsor Bridge South Jn	Deal Street Jn – Windsor Bridge South Jn	0	32	1	55	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6007	DSE	Deal Street Jn	Ordsall Lane Jn	Deal Street Jn – Ordsall Lane Jn	31	18	30	38	EH	Y	N	N	N	H	N	
London-North-Western-North	0879	NW6009	WBS1	Windsor BridgeNorth Jn	Crow Nest Jn	Windsor BridgeNorth Jn – Crow Nest Jn	1	66	14	64	EH	N	N	N	N	H	N	
London-North-Western-North	0879	NW6009	WBS2	Crow Nest Jn	Wigan Station Jn	Crow Nest Jn –Wigan Station Jn	14	64	17	44	EH	N	N	N	N	H	N	
London-North-Western-North	0879	NW6009	WBS2	Wigan Station Jn	Wigan Wallgate Jn	Wigan Station Jn – Wigan Wallgate Jn	17	44	18	04	EH	N	N	N	N	H	N	
London-North-Western-North	0879	NW6009	WBS3	Wigan Wallgate Jn	Southport	Wigan Wallgate Jn – Southport	18	04	35	27	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6011	BBB	Bolton East Jn	Blackburn Bolton Jn	Bolton East Jn – Blackburn Bolton Jn	10	31	24	08	EH	N	N	N	N	H	N	
London-North-Western-North	0879	NW6013	LCN	Lostock Jn	Crow Nest Jn	Lostock Jn –Crow Nest Jn	13	39	17	18	EH	N	N	N	N	H	N	
London-North-Western-North	0879	NW6015	WKL1	Wigan Wallgate Jn	Change of Mileage (Pemberton)	Wigan Wallgate Jn – Change of Mileage (Pemberton)	18	04	19	48	N	N	N	N	N	H	N	
London-North-Western-North	0879	NW6015	WKL2	Change of Mileage (Pemberton)	Kirkby	Change of Mileage (Pemberton) –Kirkby	19	09	29	40	N	N	N	N	N	H	N	
