Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	380	385	390	397	507	508	Notes
London-North-Western-North	0913	NW1009	CMP1	Site of former Sydney Bridge Jn – Sandbach South Jn (Independent lines)	158	76	162	28	N	N	Y	N	N	N	
London-North-Western-North	0913	NW1011	GSG	Gresty Lane Jn – Salop Goods Jn	0	00	0	37	N	N	N	N	N	N	
London-North-Western-North	0913	NW1013	CSG	Crewe Sorting Sidings North – Gresty Lane	157	26	157	47	N	N	N	N	N	N	
London-North-Western-North	0913	NW1015	CIL	Salop Goods Jn – Crewe North Jn (Chester Independent lines)	157	64	158	18	N	N	N	N	N	N	
London-North-Western-North	0913	NW1017	LLI	Salop Goods Jn – Boundary (NW1001) (Crewe Coal Yard – Liverpool Independent lines)	157	71	158	73	N	N	Y	E	N	N	
London-North-Western-North	0913	NW1019	CHW1/ 2	Acton Grange Jn – Warrington South Jn (Helsby lines)	16	19	17	76	N	N	Y	N	N	N	
London-North-Western-North	0913	NW1021	WEE	Winwick Jn – Earlestown East Jn	185	49	187	10	N	N	Y	Y	N	N	
London-North-Western-North	0913	NW1021	DSE	Earlestown East Jn – Newton-le- Willows Jn (Electrified section)	14	75	16	19	N	N	Y	Y	N	N	
London-North-Western-North	0913	NW1021	NGJ	Newton-le-Willows Jn – Golborne Jn	0	00	0	53	N	N	Y	Y	N	N	
London-North-Western-North	0913	NW1023	HOB2	Haydock Branch Jn – End of line	0	00	0	53	N	N	N	N	N	N	
London-North-Western-North	0913	NW1025	IMG	Bamfurlong Sidings Jn – Ince Moss Jn	0	18	0	78	N	N	N	N	N	N	
London-North-Western-North	0913	NW1027	PSR1	Preston South Jn – Preston Docks Branch (Change of ELR)	21	39	21	47	N	N	N	N	N	N	
London-North-Western-North	0913	NW1027	PSR2	Preston Docks Branch (Change of ELR) – Network Rail Boundary (Ribble Steam Railway)	0	00	0	40	N	N	N	N	N	N	
London-North-Western-North	0913	NW2001	WJL1	NW1001 (Weaver Jn) – Ditton East Jn	174	53	182	67	N	N	T	Y	N	N	
London-North-Western-North	0913	NW2001	WJL2	Ditton East Jn – Speke East Jn	182	67	186	72	N	N	T	Y	N	N	
London-North-Western-North	0913	NW2001	WJL3	Speke East Jn – Edge Hill East Jn	186	72	191	75	N	N	T	Y	N	N	
London-North-Western-North	0913	NW2001	WJL4	Edge Hill East Jn – Liverpool Lime Street	191	75	193	52	N	N	R1 R2	Y	N	N	R2 Prohibited Liverpool Lime Street platforms 1, 2, 3, 4, 5, 7 & 8 R3 Permitted loco-hauled only on Down and Up Wapping sidings
London-North-Western-North	0913	NW2003	RDB	Runcorn – Network Rail Boundary (Runcorn Dock Branch)	0	02	0	69	N	N	N	N	N	N	
London-North-Western-North	0913	NW2005	SCR	Speke East Jn – Garston Jn	22	59	23	52	N	N	N	N	N	N	
London-North-Western-North	0913	NW2007	AEG	Allerton East Jn – Garston Jn	0	00	0	28	N	N	N	N	N	N	
