Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0901	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	N	N	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0901	NW5010	SCQ1	Change of Mileage – Change of Mileage (Site of former Milton Jn)	0	00	3	51	N	N	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0901	NW5010	SCQ2	Change of Mileage (Site of former Milton Jn) – Change of Mileage (Site of former Leek Brook Jn)	0	00	6	65	N	N	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0901	NW5010	SCQ3	Change of Mileage (Site of former Leek Brook Jn) – Caldon Quarry	0	00	8	01	N	N	N	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0901	NW5011	HNS	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	N	N	E	Y	Y	R1 R2	Y	N	Y	Y	N	R1 15mph Denton Down platform R2 5mph Denton Up platform
London-North-Western-North	0901	NW5012	NSS	Route Boundary (LN3505) (North Stafford Jn) – Stoke Jn	1	40	0	00	N	N	Y	N	N	N	N	N	Y	Y	Y	
London-North-Western-North	0901	NW5013	DJO1	Denton Jn – Change of Mileage (Site of former Crowthorne Jn)	4	10	5	28	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0901	NW5013	DJO2	Change of Mileage (Site of former Crowthorne Jn) – Change of Mileage (Site of former Ashton Moss South Jn)	0	53	1	19	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0901	NW5013	AMJ	Change of Mileage (Site of former Ashton Moss South Jn) – Ashton Moss North Jn	0	00	0	40	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0901	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0901	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0901	NW5015	HAJ	Dinting West Jn – Hyde Jn	11	66	6	16	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0901	NW5015	HAJ	Hyde Jn – Guide Bridge West Jn	6	16	5	10	N	N	Y	Y	N	Y	Y	N	R1	R1	N	R1 Prohibited between Hyde Jn and Guide Bridge East Jn
London-North-Western-North	0901	NW5015	HAJ	Guide Bridge West Jn – Guide Bridge Station Jn	5	10	4	73	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0901	NW5015	HAJ	Guide Bridge Station Jn – Ashburys East Jn	4	73	1	56	N	N	Y	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0901	NW5015	HAJ	Ashburys East Jn – Ashburys West Jn	1	56	1	36	N	N	Y	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0901	NW5015	HAJ	Ashburys West Jn – Ardwick Jn	1	36	0	40	N	N	Y	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0901	NW5017	DSD	Dinting South Jn – Dinting East Jn	0	72	1	05	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0901	NW5019	GDW	Glossop – Dinting South Jn	0	01	0	72	N	N	N	N	N	N	Y	N	N	N	N	
