London-North-Western-North	1032	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description					Gauge								Notes
London-North-Western-North	1032										W6A	W7	W8	W9	W9Plus	W10	W10A	W12
London-North-Western-North	1032						M	Ch	M	Ch								
London-North-Western-North	1032	NW8017	CCS1/2	Network Rail Boundary (Canning Street North)	Rock Ferry South Jn	Network Rail Boundary (Canning Street North) – Rock Ferry South Jn	15	40	13	30	–	–	–	–	–	–	–	–	Line Out of Use
London-North-Western-North	1032	NW9001	MAS	Route Boundary (LN808) (Dore West Jn)	Chinley North Jn	Route Boundary (LN808) (Dore West Jn) – Chinley North Jn	154	20	174	01	Y * S1	S1	N	N	N	N	N	N	S1 The following traffic and combinations only are permitted: Up to 2438(h) x 2438(w) on FIA, IFA, FEA, FRA, KFA wagons
London-North-Western-North	1032	NW9001	TTA1	Chinley North Jn	New Mills South Jn	Chinley North Jn – New Mills South Jn	168	39	172	27	Y * S1	S1	N	N	N	N	N	N	S1 The following traffic and combinations only are permitted: Up to 2438(h) x 2438(w) on FIA, IFA, FEA, FRA, KFA wagons
London-North-Western-North	1032	NW9001	NMC1	New Mills South Jn	Hazel Grove High Level Jn	New Mills South Jn – Hazel Grove High Level Jn	172	27	177	40	Y *	Y	N	N	N	N	N	N
London-North-Western-North	1032	NW9001	HGC	Hazel Grove High Level Jn	Hazel Grove East Jn	Hazel Grove High Level Jn – Hazel Grove East Jn	2	62	2	35	Y *	Y	Y	N	N	N	N	N
London-North-Western-North	1032	NW9001	BEJ	Hazel Grove East Jn (Limit of electrification)	Edgeley Jn No.1	Hazel Grove East Jn (Limit of electrification) – Edgeley Jn No.1	2	35	0	00	Y	Y	Y	N	N	N	N	N
London-North-Western-North	1032	NW9003	CYC	Chinley East Jn	Chinley South Jn (Chord line)	Chinley East Jn – Chinley South Jn (Chord line)	168	32	167	56	Y	Y	N	N	N	N	N	N
London-North-Western-North	1032	NW9005	CNB1	Chinley North Jn	Chinley South Jn	Chinley North Jn – Chinley South Jn	168	39	167	56	Y *	S1	N	N	N	N	N	N	S1 The following traffic only is permitted: Up to 2438(h) x 2438(w) on FIA, IFA, FEA, FRA, KFA wagons
London-North-Western-North	1032	NW9005	CNB1	Chinley South Jn	Change of Mileage (Site of Former Peak Forest Jn)	Chinley South Jn – Change of Mileage (Site of Former Peak Forest Jn)	167	56	161	05	Y *	S1	N	N	N	N	N	N	S1 The following traffic only is permitted: Up to 2438(h) x 2438(w) on FIA, IFA, FEA, FRA, KFA wagons
London-North-Western-North	1032	NW9005	CNB2	Change of Mileage (Site of Former Peak Forest Jn)	Change of Mileage (Site of Former Buxton Jn)	Change of Mileage (Site of Former Peak Forest Jn) – Change of Mileage (Site of Former Buxton Jn)	0	00	0	28	Y *	S1	N	N	N	N	N	N	S1 The following traffic only is permitted: Up to 2438(h) x 2438(w) on FIA, IFA, FEA, FRA, KFA wagons
London-North-Western-North	1032	NW9005	CNB3	Change of Mileage (Site of Former Buxton Jn)	Buxton SB	Change of Mileage (Site of Former Buxton Jn) – Buxton SB	161	15	164	52	Y	N	N	N	N	N	N	N
