Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0897	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	N	N	N	Y	N	N	Y	N	N	N	N	
London-North-Western-North	0897	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	N	N	N	Y	N	N	Y	N	N	N	N	
London-North-Western-North	0897	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	N	N	N	Y	N	N	Y	N	N	N	N	
London-North-Western-North	0897	NW3023	CDM1	Deansgate Jn – Change of ELR (Altrincham)	7	05	8	00	N	N	N	Y	N	N	Y	N	N	N	N	
London-North-Western-North	0897	NW3023	CDM2	Change of ELR (Altrincham) – Mickle Trafford Jn	7	69	35	40	N	N	N	Y	N	N	R2	N	R1	R1	N	R2 Prohibited between Change of ELR (Altrincham) and Northwich West Jn R3 Prohibited between Hale and Mickle Trafford Jn
London-North-Western-North	0897	NW3025	WJP1	Skelton Jn – Partington Jn Network Rail Boundary	30	12	27	20	N	N	N	N	N	N	N	N	N	N	N	Line out of use from Signal D.7 to the Network Rail boundary NC/G1/2008/LNW395
London-North-Western-North	0897	NW3027	CDM1	Network Rail Boundary (Metrolink) – Deansgate Jn	6	77	7	05	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0897	NW3027	CDM1	Deansgate Jn – Altrincham	7	05	8	00	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0897	NW3029	SNJ	Sandbach North Jn – Northwich West Jn	0	00	8	64	N	N	N	Y	N	N	N	N	Y	Y	N	
London-North-Western-North	0897	NW3031	NSN	Northwich South Jn – Northwich Station Jn	8	37	8	66	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0897	NW3033	HEG	Hartford East Jn – Hartford North Jn (East Goods line)	21	67	22	10	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0897	NW3035	HWG	Hartford West Jn – Hartford North Jn (West Goods line)	0	11	0	29	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0897	NW3037	HCN	Hartford CLC Jn – Hartford Jn	0	72	0	16	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0897	NW4001	CGJ5	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	N	N	N	Y	R1	Y	Y	N	Y	T	N	R2 Prohibited Preston platforms 3C and 4C
London-North-Western-North	0897	NW4001	CGJ6	Preston (Change of ELR) – Preston North Jn	0	00	0	21	N	N	N	Y	Y	Y	Y	N	Y	T	N	
London-North-Western-North	0897	NW4001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	N	N	N	Y	N	Y	Y	N	Y	T	N	
London-North-Western-North	0897	NW4001	CGJ6	Preston Fylde Jn – Lancaster	0	33	20	78	N	N	N	N	N	Y	Y	N	Y	T	N	
London-North-Western-North	0897	NW4001	CGJ7	Lancaster – Carnforth North Jn	0	00	6	08	N	N	N	N	N	Y	Y	N	Y	T	N	
London-North-Western-North	0897	NW4001	CGJ7	Carnforth North Jn – Oxenholme	6	08	19	11	N	N	N	N	N	Y	Y	N	Y	T	N	
