London-North-Western-North	0977	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	Gauge of Route	Heavy Axle Weight Vehicles	Notes	
London-North-Western-North	0977	NW2001	Weaver Jn. – Liverpool Lime Street	Weaver Jn.	Liverpool Lime Street	8	SB1C (W9) R1	R2	R1 R2	SB1C Weaver Jn. – Edge Hill only. RA9/10 loaded freight vehicles are normally permitted between Weaver Jn. and Edge Hill only, but may also be permitted between Edge Hill and Liverpool Lime Street subject to the Territory Track Engineer granting special dispensation. Between Wavertree Jn. and Edge Hill station such vehicles must only be routed on the Down and Up Ditton Fast lines.
London-North-Western-North	0977	NW2003	Runcorn - I.C.I. Salt Works (Runcorn Dock Branch)	Runcorn	I.C.I. Salt Works (Runcorn Dock Branch)	8	W6A Ex. (W8)	R	R	ELR: RDB, Bridge No.4 (Folly Lane, Siding Line) vehicles which exceed the RA of the line are prohibited.
London-North-Western-North	0977	NW2005	Speke Jn. - Garston Jn.	Speke Jn.	Garston Jn.	8	SB1C (W9)	Y		
London-North-Western-North	0977	NW2007	Allerton East Jn. - Garston Jn.	Allerton East Jn.	Garston Jn.	8	SB1C (W9)	Y		
London-North-Western-North	0977	NW2009	Arpley Jn. - Ditton East Jn	Arpley Jn.	Ditton East Jn	8	W9 & W10	R	R	W11 and W12 prohibited.
London-North-Western-North	0977	NW2011	Walton Old Jn. - Arpley Jn.	Walton Old Jn.	Arpley Jn.	8	W9 & W10	R	R	W11 and W12 prohibited.
London-North-Western-North	0977	NW2015	Ordsall Lane Jn. - Edge Hill	Ordsall Lane Jn.	Edge Hill	8	R1 R2	R3	R1 R2 R3	W12 Ordsall Lane Jn – Newton-le-Willows Jn SBC1 (W9) Newton-le-Willows Jn to Edge Hill ELR: DSE, Br.107 – RA9/10 loaded freight vehicles restricted to 30mph over bridge 20mch and 19m 60ch.
London-North-Western-North	0977	NW2017	Eccles – Weaste	Eccles	Weaste	8	/	Y		
London-North-Western-North	0977	NW2019	Parkside Jn. - Lowton Jn. (East Curve lines).	Parkside Jn.	Lowton Jn. (East Curve lines).	8	W6A Ex. (W12)	R	R	RA9/10 vehicles restricted to 10mph throughout.
London-North-Western-North	0977	NW2021	Earlestown South. Jn. - Earlestown West Jn. (Liverpool Curve).	Earlestown South. Jn.	Earlestown West Jn. (Liverpool Curve).	8	SB1C (W9)	Y		
London-North-Western-North	0977	NW2023	Springs Branch Jn. - Huyton Jn. (St. Helens lines)	Springs Branch Jn.	Huyton Jn. (St. Helens lines)	7	W9 & W10	Y		
London-North-Western-North	0977	NW2025	St. Helens Station Jn. - Ravenhead Jn. (Out of use)	St. Helens Station Jn.	Ravenhead Jn. (Out of use)	-	W6A Ex. (W8)	-		
London-North-Western-North	0977	NW2027	Edge Hill, Bootle Branch Jn. - Regent Road L.C.	Edge Hill, Bootle Branch Jn.	Regent Road L.C.	8	SB1C (W9)	Y		
London-North-Western-North	0977	NW2029	Olive Mount Jn to Edge Lane Jn	Olive Mount Jn to Edge Lane Jn		8	W9 & W10	Y		
London-North-Western-North	0977	NW3001	Crewe North Jn. – Chester East Jn.	Crewe North Jn.	Chester East Jn.	8	W6A Ex. (W7)	Y		
London-North-Western-North	0977	NW3001	Chester East Jn – Holyhead	Chester East Jn	Holyhead	8	W6A Ex. (W7)	R1	R1	RA9/10 vehicles are restricted to 20mph between Valley and Ty Croes (256m 60ch to 255m 40ch) in the Up direction only.
London-North-Western-North	0977	NW3003	Chester East Jn – Acton Grange Jn.	Chester East Jn	Acton Grange Jn.	8	W6A Ex. (W7)	R	R	CHW1 Br.9 (2m 56ch), Br.62 (13m 40ch), Br.63 (13m 40ch), Br.64 (13m 74ch): RA9/10 vehicles are restricted to 50mph over these bridges.
