Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	59	60	66	67	68	70	73	97/3	Notes
London-North-Western-North	0986	NW3001	CNH1	Crewe North Jn – Limit of Electrification (Crewe Steelworks)	158	18	159	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3001	CNH1	Limit of Electrification (Crewe Steelworks) – Chester East Jn	159	55	178	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3001	CNH2	Chester East Jn – Change of ELR (Windmill Lane Tunnel)	178	66	179	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3001	CNH3	Change of ELR (Windmill Lane Tunnel) – Route Boundary LNW / Wales	179	56	188	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3001	CNH3	Route Boundary LNW / Wales - Holyhead	188	40	263	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3003	CHW1	Chester East Jn – Acton Grange Jn	0	24	16	19	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3005	WSJ2	Route Boundary (GW731) (Crewe Jn) – Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	199	00	202	60	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3005	WSJ2	Route Boundary Wales / LNW - Saltney Jn	202	60	212	06	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3007	WDB1	Wrexham Central – Wrexham Exchange Jn	0	16	0	68	5	R1	R1	R1	R1	N	N	R1	Y	R1 Prohibited between Wrexham Central and Wrexham General unless authorised by the Infrastructure Manager's track engineer
London-North-Western-North	0986	NW3007	WDB1	Wrexham Exchange Jn – Change of RA at 13m 20ch (South end of Hawarden Bridge)	0	68	13	20	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3007	WDB1	Change of RA at 13m 20ch (South end of Hawarden Bridge) – Change of ELR	13	20	13	33	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3007	WDB2 /3	Change of ELR - Route Boundary Wales / LNW	14	15	11	00	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3007	WDB3	Route Boundary Wales / LNW Bidston Dee Jn	11	00	0	08	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3009	CVS	Chester North Jn – Chester South Jn	0	36	0	13	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3011	CRR1	Chester West Jn – Hooton South Jn	0	16	7	68	8	Y	Y	Y	Y	R1	Y	Y	Y	R1 5mph Up Birkenhead line through Bridge 3 at 1m 37ch between Bache and Capenhurst R2 Prohibited Up Birkenhead line between Bache and Capenhurst
London-North-Western-North	0986	NW3013	HHJ	Hooton South. Jn – Ellesmere Port (Limit of DC Electrification)	0	02	3	44	8	Y	Y	Y	Y	Y	R1	Y	Y	R1 Prohibited between Hooton South Jn and Little Sutton
London-North-Western-North	0986	NW3013	HHJ	Ellesmere Port (Limit of DC Electrification) – Helsby Jn	3	44	8	67	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0986	NW3015	LJT1	Llandudno Jn – Blaenau Ffestiniog, End of Line	0	30	27	53	7	Y	N	Y	N	Y	Y	Y	Y	
London-North-Western-North	0986	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	7	Y	N	Y	Y	Y	Y	Y	Y	
