Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0894	NW1011	GSG	Gresty Lane Jn – Salop Goods Jn	0	00	0	37	N	N	N	Y	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW1013	CSG	Crewe Sorting Sidings North – Gresty Lane	157	26	157	47	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW1015	CIL	Salop Goods Jn – Crewe North Jn (Chester Independent lines)	157	64	158	18	N	N	N	Y	N	N	N	N	Y	Y	N	
London-North-Western-North	0894	NW1017	LLI	Salop Goods Jn – Boundary (NW1001) (Crewe Coal Yard – Liverpool Independent lines)	157	71	158	73	N	N	N	Y	N	N	N	N	Y	Y	N	
London-North-Western-North	0894	NW1019	CHW1/ 2	Acton Grange Jn – Warrington South Jn (Helsby lines)	16	19	17	76	N	N	N	Y	N	N	Y	N	Y	Y	N	
London-North-Western-North	0894	NW1021	WEE	Winwick Jn – Earlestown East Jn	185	49	187	10	N	N	N	Y	N	N	Y	N	Y	Y	N	
London-North-Western-North	0894	NW1021	DSE	Earlestown East Jn – Newton-le- Willows Jn (Electrified section)	14	75	16	19	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0894	NW1021	NGJ	Newton-le-Willows Jn – Golborne Jn	0	00	0	53	N	N	N	Y	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0894	NW1023	HOB2	Haydock Branch Jn – End of line	0	00	0	53	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW1025	IMG	Bamfurlong Sidings Jn – Ince Moss Jn	0	18	0	78	N	N	N	N	N	N	Y	N	Y	Y	N	
London-North-Western-North	0894	NW1027	PSR1	Preston South Jn – Preston Docks Branch (Change of ELR)	21	39	21	47	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW1027	PSR2	Preston Docks Branch (Change of ELR) – Network Rail Boundary (Ribble Steam Railway)	0	00	0	40	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW2001	WJL1	NW1001 (Weaver Jn) – Ditton East Jn	174	53	182	67	N	N	Y	Y	N	N	Y	N	Y	T	N	
London-North-Western-North	0894	NW2001	WJL2	Ditton East Jn – Speke East Jn	182	67	186	72	N	N	Y	Y	N	N	Y	N	Y	T	N	
London-North-Western-North	0894	NW2001	WJL3	Speke East Jn – Edge Hill East Jn	186	72	191	75	N	N	Y	Y	N	R1	Y	N	Y	T	R1	R1 Prohibited between Speke East Jn and Allerton Jn
London-North-Western-North	0894	NW2001	WJL4	Edge Hill East Jn – Liverpool Lime Street	191	75	193	52	N	N	Y	Y	N	Y	Y	N	Y	T	Y	
London-North-Western-North	0894	NW2003	RDB	Runcorn – Network Rail Boundary (Runcorn Dock Branch)	0	02	0	69	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW2005	SCR	Speke East Jn – Garston Jn	22	59	23	52	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW2007	AEG	Allerton East Jn – Garston Jn	0	00	0	28	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0894	NW2009	SDJ2	End of line (Latchford) – Ditton East Jn	10	06	18	55	N	N	N	N	N	N	N	N	N	N	N	
