London-North-Western-North	0860	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	220	221	222	Notes
London-North-Western-North	0860	NW2025	SHS1	St. Helens Station Jn	Network Rail Boundary	St. Helens Station Jn – Network Rail Boundary	7	15	6	04	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW2027	SCT1/2	Edge Hill, Bootle Branch Jn	Regent Road L.C. Network Rail Boundary (MDHC)	Edge Hill, Bootle Branch Jn – Regent Road L.C. Network Rail Boundary (MDHC)	0	14	5	53	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW2029	OME3	Olive Mount Jn	Edge Lane Jn	Olive Mount Jn – Edge Lane Jn	0	10	0	52	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW3001	CNH1	Crewe North Jn	Limit of Electrification (Crewe Steelworks)	Crewe North Jn – Limit of Electrification (Crewe Steelworks)	158	18	159	55	N	Y	Y	Y	N	E	Y	Y	N	
London-North-Western-North	0860	NW3001	CNH1	Limit of Electrification (Crewe Steelworks)	Chester East Jn	Limit of Electrification (Crewe Steelworks) – Chester East Jn	159	55	178	66	N	Y	Y	Y	N	N	Y	Y	N	
London-North-Western-North	0860	NW3001	CNH2	Chester East Jn	Change of ELR (Windmill Lane Tunnel)	Chester East Jn – Change of ELR (Windmill Lane Tunnel)	178	66	179	56	N	Y	Y	R1	N	N	Y	Y	N	R1 Prohibited Chester parcels platform
London-North-Western-North	0860	NW3001	CNH3	Change of ELR (Windmill Lane Tunnel)	Route Boundary LNW / Wales	Change of ELR (Windmill Lane Tunnel) – Route Boundary LNW / Wales	179	56	188	40	N	R1	R1	Y	N	N	Y	Y	N	R1 Prohibited between Saltney Jn and Route Boundary LNW / Wales
London-North-Western-North	0860	NW3001	CNH3	Route Boundary LNW / Wales	Holyhead	Route Boundary LNW / Wales - Holyhead	188	40	263	56	N	N	N	Y	N	N	Y	Y	N	
London-North-Western-North	0860	NW3003	CHW1	Chester East Jn	Acton Grange Jn	Chester East Jn – Acton Grange Jn	0	24	16	19	N	N	N	Y	N	N	Y	Y	N	
London-North-Western-North	0860	NW3005	WSJ2	Route Boundary (GW731) (Crewe Jn)	Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	Route Boundary (GW731) (Crewe Jn) – Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	199	00	202	60	N	Y	Y	Y	N	N	N	R1	N	R1 Prohibited Wrexham General platform 2 with deflated secondary suspension
London-North-Western-North	0860	NW3005	WSJ2	Route Boundary Wales / LNW	Saltney Jn	Route Boundary Wales / LNW - Saltney Jn	202	60	212	06	N	Y	Y	Y	N	N	N	Y	N	
London-North-Western-North	0860	NW3007	WDB1	Wrexham Central	Wrexham Exchange Jn	Wrexham Central – Wrexham Exchange Jn	0	16	0	68	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW3007	WDB1	Wrexham Exchange Jn	Change of RA at 13m 20ch (South end of Hawarden Bridge)	Wrexham Exchange Jn – Change of RA at 13m 20ch (South end of Hawarden Bridge)	0	68	13	20	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW3007	WDB1	Change of RA at 13m 20ch (South end of Hawarden Bridge)	Change of ELR	Change of RA at 13m 20ch (South end of Hawarden Bridge) – Change of ELR	13	20	13	33	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW3007	WDB2 /3	Change of ELR	Route Boundary Wales / LNW	Change of ELR - Route Boundary Wales / LNW	14	15	11	00	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW3007	WDB3	Route Boundary Wales / LNW Bidston Dee Jn		Route Boundary Wales / LNW Bidston Dee Jn	11	00	0	08	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0860	NW3009	CVS	Chester North Jn	Chester South Jn	Chester North Jn – Chester South Jn	0	36	0	13	N	N	N	Y	N	N	Y	Y	N	
London-North-Western-North	0860	NW3011	CRR1	Chester West Jn	Hooton South Jn	Chester West Jn – Hooton South Jn	0	16	7	68	N	N	N	R1	N	N	N	R1	N	R1 Prohibited between Chester North Jn and Hooton South Jn
London-North-Western-North	0860	NW3013	HHJ	Hooton South. Jn	Ellesmere Port (Limit of DC electrification)	Hooton South. Jn – Ellesmere Port (Limit of DC electrification)	0	02	3	44	N	N	N	N	N	N	N	N	N	
