Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0902	NW5021	SAJ	Guide Bridge West Jn – Stalybridge	0	04	2	20	N	N	Y	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6001	COL	Manchester Piccadilly East Jn – Castlefield Jn	188	48	189	67	N	N	Y	Y	Y	Y	Y	N	Y	Y	Y	
London-North-Western-North	0902	NW6001	COL	Castlefield Jn – Ordsall Lane Jn	189	67	190	28	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6001	OLW	Ordsall Lane Jn – Windsor Bridge South Jn	190	28	191	01	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6001	MVE1	Windsor Bridge South Jn – Windsor Bridge North Jn	1	55	1	66	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6001	MVE1	Windsor Bridge North Jn – Bolton West Jn	1	66	10	55	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6001	MVE2	Bolton West Jn – Lostock Jn	10	55	13	39	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6001	MVE2	Lostock Jn – Euxton Jn	13	39	25	31	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6003	MAJ	Castlefield Jn – Trafford Park Sidings (Limit of Electrification)	33	57	31	35	N	N	Y	N	N	Y	Y	N	Y	Y	Y	
London-North-Western-North	0902	NW6003	MAJ	Trafford Park Sidings (Limit of Electrification) – Hunts Cross	31	35	7	07	N	N	Y	N	N	Y	R1	N	Y	Y	Y	R1 Prohibited United FC platform
London-North-Western-North	0902	NW6003	MAJ	Hunts Cross – Hunts Cross West Jn	7	07	6	11	N	N	Y	N	N	Y	Y	N	Y	Y	Y	
London-North-Western-North	0902	NW6003	AHX	Hunts Cross West Jn – Allerton Jn	0	37	0	00	N	N	Y	N	N	Y	Y	N	Y	Y	Y	
London-North-Western-North	0902	NW6004	OCD	Water Street Jn – Irwell Street Jn (Change of Mileage and ELR)	190	05	190	34	N	N	Y	Y	Y	Y	Y	N	Y	R1	Y	R1 Prohibited in tilt
London-North-Western-North	0902	NW6004	DSE	Irwell Street Jn (Change of Mileage and ELR) – Deal Street Jn (Ordsall Curve lines)	30	64	31	18	N	N	Y	Y	Y	Y	N	N	Y	R1	Y	R1 Prohibited in tilt
London-North-Western-North	0902	NW6005	MVM	Manchester Victoria East Jn – Manchester Victoria	0	09	0	00	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6005	MVE1	Manchester Victoria – Deal Street Jn (Chat Moss lines)	0	00	0	32	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6005	MVE1	Deal Street Jn – Windsor Bridge South Jn	0	32	1	55	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6007	DSE	Deal Street Jn – Ordsall Lane Jn	31	18	30	38	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0902	NW6009	WBS1	Windsor Bridge North Jn – Crow Nest Jn	1	66	14	64	N	N	N	Y	Y	R1 R2 R3	Y	N	Y	Y	N	R1 15mph Swinton Up platform R2 15mph Moorside Down platform R3 15mph Walkden Up platform
London-North-Western-North	0902	NW6009	WBS2	Crow Nest Jn – Wigan Station Jn	14	64	17	44	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
