Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	58	Notes
London-North-Western-North	0978	NW7009	FHR4	Change of ELR (Site of Former Bamber Bridge Jn) – Blackburn Bolton Jn	2	10	10	11	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7009	FHR4	Blackburn Bolton Jn – Blackburn	10	11	10	42	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7009	FHR5	Blackburn – Daisyfield Jn	10	42	11	09	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7009	FHR5	Daisyfield Jn – Gannow Jn	11	09	21	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7009	FHR6	Gannow Jn – Hall Royd Jn	21	03	30	54	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7011	LHL	Farington Jn – Limit of Electrification	0	00	0	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7011	LHL	Limit of Electrification – Lostock Hall Jn (Lostock Hall Lines)	0	56	0	77	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7013	DJH	Daisyfield Jn – Hellifield	11	09	34	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7015	PRG	End of Line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	7	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0978	NW7017	GJC	Gannow Jn – Colne	21	03	27	37	8	R1	R1	R1	R1	R1	R1	R1	R1	R1 30mph over Bridge 91 (25m 33ch – 25m 34ch)
London-North-Western-North	0978	NW7019	MPR2	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7021	MVM	Miles Platting – Change of ELR	1	22	1	30	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7021	MVL1	Miles Platting Jn – Philips Park West Jn	1	30	1	59	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7021	MVL1	Philips Park West Jn – Baguley Fold Jn	1	59	2	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7021	MVL1	Baguley Fold Jn – Ashton Moss North Jn	2	39	5	41	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7021	MVL1	Ashton Moss North Jn – Stalybridge Jn	5	41	7	46	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7021	MVL2	Stalybridge Jn – Stalybridge Tunnel Jn	7	46	8	08	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7021	MVL3	Stalybridge Tunnel Jn – Route Boundary (LN860) (Springwood Jn)	8	08	15	11	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7023	BPP	Philips Park West Jn – Brewery Jn	0	00	0	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7025	PPA1	Philips Park West Jn – Philips Park South Jn	1	59	2	07	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0978	NW7025	PPA1	Philips Park South Jn – Change of Mileage	2	07	3	12	7	R1	R1	R1	R1	R1	R1	R1	R1	R1 OPPOS applies over Bridge 4 (02m 20ch – 2m 40ch)
