Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-North	1066	NW7006	SFO	Todmorden Viaduct Jn to Stansfield Hall Jn	19	30	19	47	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7007	FCO	Farington Curve Jn – Ormskirk	25	64	12	15	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR1	Farington Curve Jn – Lostock Hall Depot	0	00	0	75	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR2	Lostock Hall Depot – Lostock Hall Jn	0	75	1	42	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR3	Lostock Hall Jn – Change of ELR (Site of former Bamber Bridge Jn)	1	42	2	10	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR4	Change of ELR (Site of former Bamber Bridge Jn) – Blackburn Bolton Jn	2	10	10	11	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR4	Blackburn Bolton Jn – Blackburn	10	11	10	42	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR5	Blackburn – Daisyfield Jn	10	42	11	09	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR5	Daisyfield Jn – Gannow Jn	11	09	21	03	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7009	FHR6	Gannow Jn – Hall Royd Jn	21	03	30	54	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7011	LHL	Farington Jn – Limit of electrification	0	00	0	56	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7011	LHL	Limit of electrification – Lostock Hall Jn (Lostock Hall lines)	0	56	0	77	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7013	DJH	Daisyfield Jn – Hellifield	11	09	34	68	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7015	PRG	End of line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7017	GJC	Gannow Jn – Colne	21	03	27	37	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7019	MPR2	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7021	MVM	Miles Platting – Change of ELR	1	22	1	30	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7021	MVL1	Miles Platting Jn – Philips Park West Jn	1	30	1	59	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7021	MVL1	Philips Park West Jn – Baguley Fold Jn	1	59	2	39	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7021	MVL1	Baguley Fold Jn – Ashton Moss North Jn	2	39	5	41	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7021	MVL1	Ashton Moss North Jn – Stalybridge Jn	5	41	7	46	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7021	MVL2	Stalybridge Jn – Stalybridge Tunnel Jn	7	46	8	08	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7021	MVL3	Stalybridge Tunnel Jn – Route Boundary (LN860)	8	08	15	11	N	N	N	N	N	N	N	
London-North-Western-North	1066	NW7023	BPP	Philips Park West Jn – Brewery Jn	0	00	0	18	N	N	N	N	N	N	N	
