Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0904	NW7006	SFO	Todmorden Viaduct Jn – Stansfield Hall Jn	0	0	0	18	N	N	N	N	N	E	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7007	FCO	Farington Curve Jn – Ormskirk	25	64	12	15	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0904	NW7009	FHR1	Farington Curve Jn – Lostock Hall Depot	0	00	0	75	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7009	FHR2	Lostock Hall Depot – Lostock Hall Jn	0	75	1	42	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7009	FHR3	Lostock Hall Jn – Change of ELR (Site of former Bamber Bridge Jn)	1	42	2	10	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7009	FHR4	Change of ELR (Site of former Bamber Bridge Jn) – Blackburn Bolton Jn	2	10	10	11	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7009	FHR4	Blackburn Bolton Jn – Blackburn	10	11	10	42	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7009	FHR5	Blackburn – Daisyfield Jn	10	42	11	09	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7009	FHR5	Daisyfield Jn – Gannow Jn	11	09	21	03	N	N	N	N	N	R1	Y	N	Y	Y	N	R1 5mph Rishton Up platform
London-North-Western-North	0904	NW7009	FHR6	Gannow Jn – Hall Royd Jn	21	03	30	54	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7011	LHL	Farington Jn – Limit of electrification	0	00	0	56	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7011	LHL	Limit of electrification – Lostock Hall Jn (Lostock Hall lines)	0	56	0	77	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7013	DJH	Daisyfield Jn – Hellifield	11	09	34	68	N	N	N	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7015	PRG	End of line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	N	N	N	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0904	NW7017	GJC	Gannow Jn – Colne	21	03	27	37	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0904	NW7019	MPR2	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	N	N	N	N	N	N	E R1	N	N	N	N	R1 Prohibited between Newton Heath TMD and Network Rail Boundary (Metrolink (Down Up Boundary at 02m 32ch)
London-North-Western-North	0904	NW7021	MVM	Miles Platting – Change of ELR	1	22	1	30	N	N	Y	Y	E	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7021	MVL1	Change of ELR – Philips Park West Jn	1	30	1	57	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7021	MVL1	Philips Park West Jn – Baguley Fold Jn	1	57	2	39	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0904	NW7021	MVL1	Baguley Fold Jn – Ashton Moss North Jn	2	39	5	41	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
