Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	380	385	390	397	507	508	Notes
London-North-Western-North	0922	NW1001	CGJ2	Acton Grange Jn – Warrington South Jn	180	24	181	76	EH	N	T	Y	N	N	
London-North-Western-North	0922	NW1001	CGJ3	Warrington South Jn – Winwick Jn	181	76	185	49	EH	N	T R1	Y	N	N	R1 Prohibited from Dallam RMT access lines
London-North-Western-North	0922	NW1001	CGJ4	Winwick Jn – Golborne Jn	185	49	187	76	EH	N	T	Y	N	N	
London-North-Western-North	0922	NW1001	CGJ5	Golborne Jn – Wigan Station Jn	0	53	6	33	EH	N	T	Y	N	N	
London-North-Western-North	0922	NW1001	CGJ5	Wigan Station Jn – Farington Curve Jn	6	33	20	08	EH	N	T R1 R2	Y	N	N	R1 Prohibited Wigan North Western Bay platforms R2 See Sectional Appendix Local Instructions
London-North-Western-North	0922	NW1001	CGJ5	Farington Curve Jn – Preston Ribble Jn	20	08	21	13	EH	N	T	Y	N	N	
London-North-Western-North	0922	NW1001	CGJ5	Preston Ribble Jn – Preston (Change of ELR)	21	13	21	57	EH	N	T R1	Y	N	N	R1 Prohibited Preston Bay platforms R2 Prohibited Preston Up & Down Goods platform except in tare suspension case
London-North-Western-North	0922	NW1001	CGJ6	Preston (Change of ELR) – Preston North Jn	0	00	0	21	EH	N	T	Y	N	N	
London-North-Western-North	0922	NW1001	CGJ6	Preston North Jn – Preston Fylde Jn	0	21	0	33	EH	N	T	Y	N	N	
London-North-Western-North	0922	NW1002	RBS3	Route Boundary (MD301) (Penkridge Station) – Stafford Trent Valley Jn No.1	23	30	28	50	N	N	T	N	N	N	
London-North-Western-North	0922	NW1003	HCM2	Buffer Stop (Silverdale Colliery End) – Madeley Chord Jn	3	27	7	36	N	N	N	N	N	N	
London-North-Western-North	0922	NW1003	HCM3	Madeley Chord Jn – Madeley Jn	0	25	0	00	N	N	N	N	N	N	
London-North-Western-North	0922	NW1003	HCM2	Madeley Chord Jn – End of Line	7	36	8	14	N	N	N	N	N	N	
London-North-Western-North	0922	NW1004	RRN2	Route Boundary (MD345) (Cannock Change of ELR) – Rugeley North Jn	14	00	14	69	N	N	Y	N	N	N	
London-North-Western-North	0922	NW1005	KCS1	Kidsgrove Jn – Crewe South Jn	0	00	8	27	N	N	R1	N	N	N	R2 Prohibited from all sidings lines and Alsager Up & Down Goods Loop
London-North-Western-North	0922	NW1007	SYC	Route Boundary (GW735) (Crewe Jn) – Limit of Electrification	2	60	1	41	N	N	N	N	N	N	
London-North-Western-North	0922	NW1007	SYC	Limit of Electrification – Crewe South Jn	1	41	0	00	N	N	N	N	N	N	
London-North-Western-North	0922	NW1009	BHI	Basford Hall Jn – Site of former Sydney Bridge Jn (Independent lines)	156	16	158	76	N	N	Y	E	N	N	
