Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-North	1043	NW7025	PPA1	Philips Park South Jn – Change of Mileage	2	07	3	12	Y *	Y	Y	Y	N	N	N	N	
London-North-Western-North	1043	NW7025	PPA2	Change of Mileage – Ashburys West Jn	0	57	0	00	Y *	Y	Y	Y	N	N	N	N	
London-North-Western-North	1043	NW7027	PPP1	Baguley Fold Jn – Change of Mileage	2	39	2	13	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	1043	NW7027	PPP2	Change of Mileage – Philips Park South Jn	0	00	0	19	Y	Y	Y	Y	N	N	N	N	
London-North-Western-North	1043	NW8001	HXS1	Hunts Cross West Jn – Liverpool Central	6	11	0	02	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8001	HXS2	Liverpool Central – Paradise Jn	37	13	36	71	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8001	HXS2	Paradise Jn – Sandhills Jn	36	71	34	75	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8001	HXS3	Sandhills Jn – Bootle Jn	1	41	2	39	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8001	HXS3	Bootle Jn – Southport	2	39	18	35	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8003	SIL	Paradise Jn – James Street (Stock Interchange/Holding line)	0	32	0	53	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8005	SJO1	Sandhills Jn – Walton Jn	34	75	33	16	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8005	SJO2	Walton Jn – Ormskirk	3	20	12	13	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8007	NMM	Bootle Jn – Change of ELR (Site of Former North Mersey Jn)	2	34	3	52	–	–	–	–	–	–	–	–	Line Not in Regular Use
London-North-Western-North	1043	NW8007	NMB	Change of ELR (Site of Former North Mersey Jn) – Change of ELR (Site of Former Sefton Jn)	34	40	32	42	–	–	–	–	–	–	–	–	Line Not in Regular Use
London-North-Western-North	1043	NW8007	AFL	Change of ELR (Site of Former Sefton Jn) – Aintree Station Jn	0	00	0	40	–	–	–	–	–	–	–	–	Line Not in Regular Use
London-North-Western-North	1043	NW8009	WJK	Walton Jn – Kirkby	33	16	29	41	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8011	MIR1	Mann Island Jn – Mann Island Jn via Loop	0	00	2	12	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8011	MIR2	Mann Island Jn – Hamilton Square Jn	0	69	1	72	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8011	CWK1	Hamilton Square Jn – Change of ELR (Birkenhead Park)	1	72	3	00	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8011	CWK2	Change of ELR (Birkenhead Park) – Bidston East Jn	3	00	4	40	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8011	CWK3	Bidston East Jn – Bidston Dee Jn	4	40	4	78	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8011	CWK3	Bidston Dee Jn – West Kirby	4	78	10	46	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8013	MIR2	Canning Street Jn – Rock Ferry	1	60	3	42	N	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8013	CRR2	Rock Ferry South Jn – Hooton South Jn	13	39	7	68	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1043	NW8015	BEN	Bidston East Jn – New Brighton (New Brighton lines)	4	40	7	18	Y *	N	N	N	N	N	N	N	
