Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0895	NW2015	DSE	Ordsall Lane Jn – Newton-le-Willows Jn	30	38	16	19	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2015	DSE	Newton-le-Willows Jn – Earlestown East Jn (Electrified section)	16	19	14	75	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2015	DSE	Earlestown East Jn – Edge Hill	14	75	1	57	N	N	Y	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2017	SCN	Eccles Station Jn – Network Rail (Weaste Branch) / MSC Boundary	0	00	0	54	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0895	NW2019	PJL	Parkside Jn – Lowton Jn (East Curve lines)	0	05	0	36	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2021	EEE	Earlestown South Jn – Earlestown West Jn (Liverpool Curve)	186	74	187	15	N	N	N	Y	N	N	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2023	SBH3	Springs Branch Jn – Gerards Bridge Jn	12	54	5	66	N	N	N	N	N	N	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2023	SBH2	Gerards Bridge Jn – St Helens Station Jn	5	66	5	12	N	N	N	N	N	N	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2023	SBH1	St Helens Station Jn – Huyton Jn	5	12	0	-18	N	N	N	N	N	N	Y	N	Y	Y	N	
London-North-Western-North	0895	NW2025	SHS1	St. Helens Station Jn – Network Rail Boundary	7	15	6	04	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0895	NW2027	SCT1/2	Edge Hill, Bootle Branch Jn –Network Rail Boundary (MDHC)	0	15	5	53	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0895	NW2029	OME3	Olive Mount Jn – Edge Lane Jn	0	10	0	52	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0895	NW3001	CNH1	Crewe North Jn – Limit of Electrification (Crewe Steelworks)	158	18	159	55	N	Y	Y	Y	N	E	Y	Y	Y	Y	N	
London-North-Western-North	0895	NW3001	CNH1	Limit of Electrification (Crewe Steelworks) – Chester East Jn	159	55	178	66	N	Y	Y	Y	N	N	Y	N	Y	Y	N	
London-North-Western-North	0895	NW3001	CNH2	Chester East Jn – Change of ELR (Windmill Lane Tunnel)	178	66	179	56	N	Y	Y	R1	N	N	R2 R3	N	Y	Y	N	R1 Prohibited Chester parcels platform with crush deflated suspension R2 Prohibited between Chester West Jn and Change of ELR (Windmill Lane Tunnel) R3 Prohibited Chester platform 1 and Chester Parcels platform with deflated secondary suspension
