Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-North	1059	NW2023	SBH1	St Helens Station Jn – Huyton Jn	5	12	0	-18	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW2025	SHS1	St Helens Station Jn – Sutton Oak Network Rail Boundary	7	15	6	04	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW2027	SCT1/2	Edge Hill, Bootle Branch Jn –Network Rail Boundary (MDHC)	0	15	5	53	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW2029	OME3	Olive Mount Jn – Edge Lane Jn	0	10	0	52	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3001	CNH1	Crewe North Jn – Limit of Electrification (Crewe Steelworks)	158	18	159	41	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3001	CNH1	Limit of Electrification (Crewe Steelworks) – Chester East Jn	159	41	178	66	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3001	CNH2	Chester East Jn – Change of ELR (Chester Windmill Lane Tunnel)	178	66	179	56	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3001	CNH3	Change of ELR (Chester Windmill Lane Tunnel) – Route Boundary LNW / Wales (Rockcliffe Hall)	179	56	188	40	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3001	CNH3	Route Boundary LNW / Wales (Rockcliffe Hall) – Holyhead	188	40	263	56	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3003	CHW1	Chester East Jn – Acton Grange Jn	0	24	16	19	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3005	WSJ2	Sectional Appendix Boundary (GW731) – Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	199	00	202	60	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3005	WSJ2	Route Boundary Wales / LNW – Saltney Jn	202	60	212	06	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3007	WDB1	Wrexham Central – Wrexham Exchange Jn	0	16	0	68	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3007	WDB1	Wrexham Exchange Jn – Change of RA at 13m 20ch (South end of Hawarden Bridge)	0	68	13	20	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3007	WDB1	Change of RA at 13m 20ch (South end of Hawarden Bridge) – Change of ELR	13	20	13	33	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3007	WDB2	Change of ELR (Hawarden Bridge) – Change of ELR (Site of former Dee Marsh Jn West)	14	15	14	00	N	N	N	N	N	N	N	
London-North-Western-North	1059	NW3007	WDB3	Change of ELR (Site of former Dee Marsh Jn West) – Route Boundary Wales / LNW (Burton Point)	14	00	11	00	N	N	N	N	N	N	N	
