Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	380	385	390	397	507	508	Notes
London-North-Western-North	0925	NW3001	CNH3	Route Boundary LNW / Wales – Holyhead	188	40	263	56	N	N	H R1 R2 R3	N	N	N	R3 Prohibited Down Goods Loop (Holywell Jn) R4 Prohibited Llandudno Jn bay platform 2 R5 Prohibited Holyhead platform 3
London-North-Western-North	0925	NW3003	CHW1	Chester East Jn – Acton Grange Jn	0	24	16	19	N	N	N	N	N	N	
London-North-Western-North	0925	NW3005	WSJ2	Route Boundary (GW731) (Crewe Jn) – Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	199	00	202	60	N	N	N	N	N	N	
London-North-Western-North	0925	NW3005	WSJ2	Route Boundary Wales / LNW – Saltney Jn	202	60	212	06	N	N	N	N	N	N	
London-North-Western-North	0925	NW3007	WDB1	Wrexham Central – Wrexham Exchange Jn	0	16	0	68	N	N	N	N	N	N	
London-North-Western-North	0925	NW3007	WDB1	Wrexham Exchange Jn – Change of RA at 13m 20ch (South end of Hawarden Bridge)	0	68	13	20	N	N	N	N	N	N	
London-North-Western-North	0925	NW3007	WDB1	Change of RA at 13m 20ch (South end of Hawarden Bridge) – Change of ELR	13	20	13	33	N	N	N	N	N	N	
London-North-Western-North	0925	NW3007	WDB2 /3	Change of ELR – Route Boundary Wales / LNW	14	15	11	00	N	N	N	N	N	N	
London-North-Western-North	0925	NW3007	WDB3	Route Boundary Wales / LNW Bidston Dee Jn	11	00	0	08	N	N	N	N	N	N	
London-North-Western-North	0925	NW3009	CVS	Chester North Jn – Chester South Jn	0	36	0	13	N	N	N	N	N	N	
London-North-Western-North	0925	NW3011	CRR1	Chester West Jn – Hooton South Jn	0	16	7	68	N	N	N	N	Y	Y	
London-North-Western-North	0925	NW3013	HHJ	Hooton South. Jn – Ellesmere Port (Limit of DC electrification)	0	02	3	44	N	N	N	N	Y	Y	
London-North-Western-North	0925	NW3013	HHJ	Ellesmere Port (Limit of DC electrification) – Helsby Jn	3	44	8	67	N	N	N	N	N	N	
London-North-Western-North	0925	NW3015	LJT1	Llandudno Jn – Blaenau Ffestiniog, End of line	0	30	27	53	N	N	N	N	N	N	
London-North-Western-North	0925	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	N	N	N	N	N	N	
London-North-Western-North	0925	NW3019	GLA	Gaerwen – Network Rail Boundary	0	00	17	37	N	N	N	N	N	N	Line out of use NC/G1/2008/LNW396
London-North-Western-North	0925	NW3021	FJH	Frodsham Jn – Halton Jn	1	54	0	00	N	N	N	N	N	N	
London-North-Western-North	0925	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	N	N	N	N	N	N	
London-North-Western-North	0925	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	N	N	N	N	N	N	
London-North-Western-North	0925	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	N	N	N	N	N	N	
