Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0903	NW6009	WBS3	Wigan Wallgate Jn – Southport	18	04	35	27	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0903	NW6011	BBB	Bolton East Jn – Blackburn Bolton Jn	10	31	24	08	N	N	N	N	N	R1 R2 R3 R4	Y	N	Y	Y	N	R1 15mph Hall I’th’Wood Down platform R2 30mph Bromley Cross Up platform R3 30mph Darwen Down platform R4 15mph BBB1/65 Bolton Road underbridge 23m46ch single
London-North-Western-North	0903	NW6013	LCN	Lostock Jn – Crow Nest Jn	13	39	17	18	N	N	N	Y	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0903	NW6015	WKL1	Wigan Wallgate Jn – Change of Mileage (Pemberton)	18	04	19	48	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0903	NW6015	WKL2	Change of Mileage (Pemberton) – Kirkby	19	09	29	40	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0903	NW7001	MVM	Manchester Victoria East Jn (Man Vic West Jn – East Jn on NW6005) – Miles Platting Jn	0	09	1	22	N	N	Y	Y	E	Y	Y	N	Y	Y	N	
London-North-Western-North	0903	NW7001	MPR1	Miles Platting Jn – Brewery Jn	1	30	1	52	N	N	Y	Y	E	Y	Y	N	Y	Y	N	
London-North-Western-North	0903	NW7001	MPR1	Brewery Jn –Thorpes Bridge Jn	1	52	2	17	N	N	Y	Y	E	Y	Y	N	Y	Y	N	
London-North-Western-North	0903	NW7001	MVN2	Thorpes Bridge Jn – Castleton South Jn	2	17	8	21	N	N	Y	E R1	E R1	Y	Y	N	Y	Y	N	R1 Prohibited between Newton Heath TMD and Castleton South Jn
London-North-Western-North	0903	NW7001	MVN2	Castleton South Jn – Castleton East Jn	8	21	8	52	N	N	Y	N	N	Y	Y	N	Y	Y	N	
London-North-Western-North	0903	NW7001	MVN2	Castleton East Jn – Hall Royd Jn	8	52	19	61	N	N	R2 R3	N	R1	Y	Y	N	Y	Y	N	R1 Prohibited between Castleton East Jn and Todmorden R2 Prohibited Rochdale platform 1 with deflated suspension R3 Prohibited Smithy Bridge Up and Down platforms with deflated suspension
London-North-Western-North	0903	NW7001	MVN2	Hall Royd Jn – Route Boundary (LN854) (Turners Lane Jn)	19	61	22	62	N	N	Y	N	Y	Y	Y	N	Y	Y	N	
London-North-Western-North	0903	NW7005	CEH	Castleton East Jn – Castleton North Jn	0	00	0	37	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0903	NW7005	CPI1	Castleton South Jn – Castleton North Jn	8	21	8	50	N	N	N	N	N	N	N	N	N	N	N	
