Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5A	Notes
London-North-Western-North	0940	NW3005	WSJ2	Route Boundary (GW731) (Crewe Jn) – Route Boundary Wales / LNW including ‘Up & Down’ loop Wrexham General ELR WDB1	199	00	202	60	Y	Y	Y	Y	N	Y	Y	N	N	
London-North-Western-North	0940	NW3005	WSJ2	Route Boundary Wales / LNW – Saltney Jn	202	60	212	06	Y	Y	Y	Y	N	Y	Y	N	N	
London-North-Western-North	0940	NW3007	WDB1	Wrexham Central – Wrexham Exchange Jn	0	16	0	68	Y	Y	N	N	N	N	N	N	N	
London-North-Western-North	0940	NW3007	WDB1	Wrexham Exchange Jn – Change of RA at 13m 20ch (South end of Hawarden Bridge)	0	68	13	20	Y	Y	N	N	N	N	N	N	N	
London-North-Western-North	0940	NW3007	WDB1	Change of RA at 13m 20ch (South end of Hawarden Bridge) – Change of ELR	13	20	13	33	Y	Y	N	N	N	N	N	N	N	
London-North-Western-North	0940	NW3007	WDB2 /3	Change of ELR – Route Boundary Wales / LNW	14	15	11	00	Y	Y	N	N	N	N	N	N	N	
London-North-Western-North	0940	NW3007	WDB3	Route Boundary Wales / LNW Bidston Dee Jn	11	00	0	08	Y	Y	N	N	N	N	N	N	N	
London-North-Western-North	0940	NW3009	CVS	Chester North Jn – Chester South Jn	0	36	0	13	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3011	CRR1	Chester West Jn – Hooton South Jn	0	16	7	68	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3013	HHJ	Hooton South. Jn – Ellesmere Port (Limit of DC electrification)	0	02	3	44	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3013	HHJ	Ellesmere Port (Limit of DC electrification) – Helsby Jn	3	44	8	67	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3015	LJT1	Llandudno Jn – Blaenau Ffestiniog, End of line	0	30	27	53	Y	Y	N	N	N	N	N	N	N	
London-North-Western-North	0940	NW3017	LLJ	Llandudno Jn – Llandudno	0	03	3	14	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3019	GLA	Gaerwen – Network Rail Boundary	0	00	17	37	N	N	N	N	N	N	N	N	N	Line out of use NC/G1/2008/LNW396
London-North-Western-North	0940	NW3021	FJH	Frodsham Jn – Halton Jn	1	54	0	00	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3023	EJN	Edgeley Jn – Northenden Jn	0	00	3	68	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3023	WJP1	Northenden Jn – Skelton Jn	33	52	30	12	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3023	SJD	Skelton Jn – Deansgate Jn	0	00	0	33	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3023	CDM1	Deansgate Jn – Change of ELR (Altrincham)	7	05	8	00	Y	Y	Y	N	N	N	Y	N	N	
London-North-Western-North	0940	NW3023	CDM2	Change of ELR (Altrincham) – Mickle Trafford Jn	7	69	35	40	Y	Y	Y	N	N	N	Y	R1	N	R1 Permitted Northwich West Jn – Hartford CLC Jn only
