Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	165	168	170	175	180	185	195	196	220	221	222	Notesoooooooooooooooooooooooo
London-North-Western-North	0899	NW4027	BSN	Bruntill Branch Jn – Stainton Jn via Down and Up Brunthill Branch Siding	0	66	0	2	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0899	NW4027	ETC	End of line Buffer Stops – Network Rail Boundary / Brunthill via Down and Up Brunthill line	96	9	95	6	N	N	N	N	N	N	N	N	N	N	N	
London-North-Western-North	0899	NW4029	GJH	Mossband Jn – Bush-on-Esk West Jn	3	02	1	06	N	N	N	N	N	N	EH	N	N	N	N	
London-North-Western-North	0899	NW4029	GJH	Bush-on-Esk West Jn – Network Rail Boundary	1	06	0	24	N	N	N	N	N	N	EH	N	N	N	N	Line out of use
London-North-Western-North	0899	NW4031	GSW	Gretna Jn – Route Boundary (SC031) (Eastriggs)	116	13	115	40	N	N	N	N	N	Y	N	N	Y	Y	N	
London-North-Western-North	0899	NW4033	CBC1	Carnforth North Jn – Carnforth Station Jn	0	19	0	38	N	N	N	Y	N	Y	Y	N	N	N	N	
London-North-Western-North	0899	NW4033	CBC1	Carnforth Station Jn – Limit of Electrification (Carnforth)	0	38	0	60	N	N	N	Y	N	Y	Y	N	N	N	N	
London-North-Western-North	0899	NW4033	CBC1	Limit of Electrification (Carnforth) – Whitehaven	0	60	74	66	N	N	N	R1	N	R1	R2 R3	N	N	N	N	R1 Prohibited between Millom and Whitehaven R2 Prohibited Barrow-in-Furness Down platform 1 with deflated secondary suspension R3 Prohibited Millom Up platform 1 with deflated secondary suspension
London-North-Western-North	0899	NW4033	CBC1	Whitehaven – Bransty SB (Change of ELR)	74	66	74	73	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0899	NW4033	CBC2	Bransty SB (Change of ELR) – Change of ELR (Maryport)	0	16	12	05	N	N	N	N	N	N	Y	N	N	N	N	
London-North-Western-North	0899	NW4033	CBC3	Change of ELR (Maryport) – Carlisle South Jn	0	00	27	49	N	N	N	N	N	E R1	R2	N	R1	R1	N	R1 Prohibited between Change of ELR (Maryport) and Currock Jn R2 Prohibited between Maryport and Carlisle South Jn
London-North-Western-North	0899	NW4041	DAP	Dalton Jn – Park South Jn	0	00	0	76	N	N	N	Y	N	Y	Y	N	N	N	N	
London-North-Western-North	0899	NW5001	CMP1	Crewe North Jn – Sandbach North Jn	158	17	162	62	N	N	Y	Y	Y	Y	Y	R1	Y	Y	N	R1 Prohibited Former Site of Sydney Bridge to Sandbach North Jn
London-North-Western-North	0899	NW5001	CMP1	Sandbach North Jn – Wilmslow South Jn	162	62	176	53	N	N	Y	Y	Y	Y	Y	N	Y	Y	N	
