Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	58	Notes
London-North-Western-North	0968	NW6009	WBS2	Wigan Station Jn – Wigan Wallgate Jn	17	44	18	04	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW6009	WBS3	Wigan Wallgate Jn – Southport	18	04	35	27	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW6011	BBB	Bolton East Jn – Blackburn Bolton Jn	10	31	24	08	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW6013	LCN	Lostock Jn – Crow Nest Jn	13	39	17	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW6015	WKL1	Wigan Wallgate Jn – Change of Mileage (Pemberton)	18	04	19	48	7	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW6015	WKL2	Change of Mileage (Pemberton) – Kirkby	19	09	29	40	7	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7001	MVM	Manchester Victoria East Jn (Man Vic West Jn – East Jn on NW6005) – Miles Platting Jn	0	09	1	30	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7001	MPR1	Miles Platting Jn – Brewery Jn	1	30	1	52	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7001	MPR1	Brewery Jn –Thorpes Bridge Jn	1	52	2	17	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7001	MVN2	Thorpes Bridge Jn – Castleton South Jn	2	17	8	21	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7001	MVN2	Castleton South Jn – Castleton East Jn	8	21	8	52	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7001	MVN2	Castleton East Jn – Hall Royd Jn	8	52	19	61	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7001	MVN2	Hall Royd Jn – Route Boundary (LN854) (Turners Lane Jn)	19	61	22	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7005	CEH	Castleton East Jn – Castleton North Jn	0	00	0	37	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7005	CPI1	Castleton South Jn – Castleton North Jn	8	21	8	50	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7005	CPI2	Castleton North Jn – Network Rail / East Lancashire Railway Boundary (Hopwood)	8	50	9	04	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7006	SFO	Todmorden Viaduct Jn – Stansfield Hall Jn	0	0	0	18	8	Y	N	Y	Y	Y	Y	Y	N	
London-North-Western-North	0968	NW7007	FCO	Farington Curve Jn – Ormskirk	25	64	12	15	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7009	FHR1	Farington Curve Jn – Lostock Hall Depot	0	00	0	75	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7009	FHR2	Lostock Hall Depot – Lostock Hall Jn	0	75	1	42	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0968	NW7009	FHR3	Lostock Hall Jn – Change of ELR (Site of Former Bamber Bridge Jn)	1	42	2	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
