Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W6A	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Western-North	1055	NW9901	SKW1	Route Boundary (LN922) (Gargrave) – Settle Jn	230	00	234	44	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1055	NW9901	SAC	Settle Jn – Petteril Bridge Jn	234	44	307	12	Y *	Y	N	N	N	N	N	N	
London-North-Western-North	1055	NW9901	NEC2	Petteril Bridge Jn – London Road Jn	59	26	59	45	Y	Y	N	N	N	N	N	N	
London-North-Western-North	1055	NW9901	NEC2	London Road Jn – Carlisle South Jn	59	45	60	02	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1055	NW9903	SKW1	Settle Jn – Change of ELR (Site of former Wennington Jn)	234	44	249	44	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1055	NW9903	SJC	Change of ELR (Site of former Wennington Jn) – Change of ELR (Site of former Carnforth East Jn)	9	45	0	31	Y *	N	N	N	N	N	N	N	
London-North-Western-North	1055	NW9903	CEC	Change of ELR (Site of Former Carnforth East Jn) – Carnforth Station Jn	0	25	0	04	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1055	NW9907	WAR	Appleby North Jn – Appleby West Jn	277	27	277	56	Y	N	N	N	N	N	N	N	Line Not in Regular Use
London-North-Western-North	1055	NW9907	EDE	Network Rail Boundary (Warcop) – End of line	11	03	11	46	Y	N	N	N	N	N	N	N	Line Not in Regular Use
London-North-Western-North	1055	NW9909	NEC2	Route Boundary (LN682) (Scotby) – Petteril Bridge Jn	58	00	59	26	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1055	NW9911	NGD	London Road Jn – Bog Jn (Newcastle Goods lines)	0	00	0	25	Y *	Y	Y	Y	Y	Y	Y	Y	
