Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	59	60	66	67	68	70	73	97/3	Notes
London-North-Western-North	0990	NW5010	SCQ2	Change of Mileage (Site of Former Milton Jn) – Change of Mileage (Site of Former Leek Brook Jn)	0	00	6	65	6	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0990	NW5010	SCQ3	Change of Mileage (Site of Former Leek Brook Jn) – Caldon Quarry	0	00	8	01	6	N	N	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0990	NW5011	HNS	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5012	NSS	Route Boundary (LN3505) (North Stafford Jn) – Stoke Jn	1	40	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5013	DJO1	Denton Jn – Change of Mileage (Site of Former Crowthorne Jn)	4	10	5	28	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5013	DJO2	Change of Mileage (Site of Former Crowthorne Jn) – Change of Mileage (Site of Former Ashton Moss South Jn)	0	53	1	19	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5013	AMJ	Change of Mileage (Site of Former Ashton Moss South Jn) – Ashton Moss North Jn	0	00	0	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Dinting West Jn – Hyde Jn	11	66	6	16	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Hyde Jn – Guide Bridge West Jn	6	16	5	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Guide Bridge West Jn – Guide Bridge Station Jn	5	10	4	73	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Guide Bridge Station Jn – Ashburys East Jn	4	73	1	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Ashburys East Jn – Ashburys West Jn	1	56	1	36	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5015	HAJ	Ashburys West Jn – Ardwick Jn	1	36	0	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5017	DSD	Dinting South Jn – Dinting East Jn	0	72	1	05	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5019	GDW	Glossop – Dinting South Jn	0	01	0	72	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5019	GDW	Dinting South Jn – Dinting West Jn	0	72	1	05	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW5021	SAJ	Stalybridge Jn – Guide Bridge West Jn	2	08	0	04	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW6001	COL	Manchester Piccadilly East Jn – Castlefield Jn	188	48	189	67	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW6001	COL	Castlefield Jn – Ordsall Lane Jn	189	67	190	28	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW6001	OLW	Ordsall Lane Jn – Windsor Bridge South Jn	190	28	191	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0990	NW6001	MVE1	Windsor Bridge South Jn – Windsor Bridge North Jn	1	55	1	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
