London-North-Western-North	0935	Line of Route	Line of Route / Sector Description	Line of Route / Sector Description		RA	Gauge of Route	Heavy Axle Weight Vehicles	Notes	
London-North-Western-North	0935	NW1001	Armitage Jn. (Incl.) - Preston Fylde Jn.	Armitage Jn. (Incl.)	Preston Fylde Jn.	8	SB1C (W9)	Y		
London-North-Western-North	0935	NW1002	Penkridge Station (incl.) to Trent Valley Jn. No.1 (Stafford)	Penkridge Station (incl.) to Trent Valley Jn. No.1 (Stafford)		8	SB1C (W9)	Y		
London-North-Western-North	0935	NW1003	Silverdale – Madeley (Out of use)	Silverdale	Madeley (Out of use)	-	/	--		
London-North-Western-North	0935	NW1004	Rugeley Town (excl.) to Rugeley North Jn.	Rugeley Town (excl.) to Rugeley North Jn.		8	W6A (W6)	Y		
London-North-Western-North	0935	NW1005	Kidsgrove Jn. - Crewe South Jn.	Kidsgrove Jn.	Crewe South Jn.	8	SB1C (W9) R	Y	R	Also clear for 9’ 6” containers (W10) on specific vehicles.
London-North-Western-North	0935	NW1007	Nantwich (excl.) - Crewe South Jn.	Nantwich (excl.)	Crewe South Jn.	8	W6A Ex. (W7)	Y		
London-North-Western-North	0935	NW1009	Basford Hall Jn. – Sandbach South Jn. (Independent Lines)	Basford Hall Jn.	Sandbach South Jn. (Independent Lines)	8	SB1C (W9)	Y		
London-North-Western-North	0935	NW1011	Gresty Lane - Salop Goods Jn.	Gresty Lane	Salop Goods Jn.	8	W6A Ex. (W7)	Y		
London-North-Western-North	0935	NW1013	Crewe Sorting Sidings North – Gresty Lane	Crewe Sorting Sidings North	Gresty Lane	8	W6A Ex. (W7)	R	R	Permitted Gresty Lane - Salop Goods Loop Jn. in Up direction only.
London-North-Western-North	0935	NW1015	Salop Goods Jn - Crewe North. Jn. (Chester Independent Lines)	Salop Goods Jn	Crewe North. Jn. (Chester Independent Lines)	8	W6A Ex. (W7)	Y		
London-North-Western-North	0935	NW1017	Salop Goods Jn. – Crewe Coal Yard (Liverpool Independent Lines)	Salop Goods Jn.	Crewe Coal Yard (Liverpool Independent Lines)	8	SB1C (W9)	Y		
London-North-Western-North	0935	NW1019	Acton Grange Jn. - Warrington South Jn. (Helsby lines)	Acton Grange Jn.	Warrington South Jn. (Helsby lines)	8	SB1C (W9)	Y		
London-North-Western-North	0935	NW1021	Winwick Jn. - Golborne Jn. (via Earlestown)	Winwick Jn.	Golborne Jn. (via Earlestown)	8	SB1C (W9)	R	R	RA9/10 vehicles are restricted to 10mph between Lowton Jn. and Golborne Jn.
London-North-Western-North	0935	NW1023	Haydock Branch Jn. - Kelbit P.S.	Haydock Branch Jn.	Kelbit P.S.	8	/	Y		
London-North-Western-North	0935	NW1025	Bamfurlong Sidings Jn. - Ince Moss Jn. (Ince Moss Goods Lines)	Bamfurlong Sidings Jn.	Ince Moss Jn. (Ince Moss Goods Lines)	7	W6A Ex. (W8)	Y		
London-North-Western-North	0935	NW1027	Preston South Jn. - Strand Road	Preston South Jn.	Strand Road	8	/	Y		
