Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	58	Notes
London-North-Western-North	0967	NW5015	HAJ	Ashburys West Jn – Ardwick Jn	1	36	0	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW5017	DSD	Dinting South Jn – Dinting East Jn	0	72	1	05	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW5019	GDW	Glossop – Dinting South Jn	0	01	0	72	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW5019	GDW	Dinting South Jn – Dinting West Jn	0	72	1	05	8	Y	N	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW5021	SAJ	Stalybridge Jn – Guide Bridge West Jn	2	08	0	04	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6001	COL	Manchester Piccadilly East Jn – Castlefield Jn	188	48	189	67	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6001	COL	Castlefield Jn – Ordsall Lane Jn	189	67	190	28	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6001	OLW	Ordsall Lane Jn – Windsor Bridge South Jn	190	28	191	01	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6001	MVE1	Windsor Bridge South Jn – Windsor Bridge North Jn	1	55	1	66	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6001	MVE1	Windsor Bridge North Jn – Bolton West Jn	1	66	10	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6001	MVE2	Bolton West Jn – Lostock Jn	10	55	13	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6001	MVE2	Lostock Jn – Euxton Jn	13	39	25	31	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6003	MAJ	Castlefield Jn – Trafford Park Sidings (Limit of Electrification)	33	57	31	35	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6003	MAJ	Trafford Park Sidings (Limit of Electrification) – Hunts Cross	31	35	7	07	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6003	MAJ	Hunts Cross – Hunts Cross West Jn	7	07	6	11	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6003	AHX	Hunts Cross West Jn – Allerton Jn	0	37	0	00	7	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6004	OCD	Water Street Jn – Irwell Street Jn (Change of Mileage and ELR)	190	05	190	34	10	Y	Y	N	N	N	Y	Y	Y	
London-North-Western-North	0967	NW6004	DSE	Irwell Street Jn (Change of Mileage and ELR) – Deal Street Jn (Ordsall Curve lines)	30	64	31	18	10	Y	Y	N	N	N	Y	Y	Y	
London-North-Western-North	0967	NW6005	MVM	Manchester Victoria East Jn – Manchester Victoria	0	09	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6005	MVE1	Manchester Victoria – Deal Street Jn (Chat Moss Lines)	0	00	0	32	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6005	MVE1	Deal Street Jn – Windsor Bridge South Jn	0	32	1	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6007	DSE	Deal Street Jn – Ordsall Lane Jn	31	18	30	38	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0967	NW6009	WBS1	Windsor Bridge North Jn – Crow Nest Jn	1	66	14	64	8	N	Y	Y	Y	Y	N	Y	N	
London-North-Western-North	0967	NW6009	WBS2	Crow Nest Jn – Wigan Station Jn	14	64	17	44	8	Y	Y	Y	Y	Y	Y	Y	Y	
