Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Western-North	1004	NW4033	CBC1	Limit of Electrification (Carnforth) - Whitehaven	0	60	74	66	8	N	N	Y	N	N	N	
London-North-Western-North	1004	NW4033	CBC1	Whitehaven - Bransty SB (Change of ELR)	74	66	74	73	7	N	N	Y	N	N	N	
London-North-Western-North	1004	NW4033	CBC2	Bransty SB (Change of ELR) – Change of ELR (Maryport)	0	16	12	05	7	N	N	Y	N	N	N	
London-North-Western-North	1004	NW4033	CBC3	Change of ELR (Maryport) – Carlisle South Jn	0	00	27	49	8	N	N	Y	N	N	N	
London-North-Western-North	1004	NW4041	DAP	Dalton Jn – Park South Jn	0	00	0	76	8	N	N	Y	N	N	N	
London-North-Western-North	1004	NW5001	CMP1	Crewe North Jn – Sandbach North Jn	158	17	162	62	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP1	Sandbach North Jn – Wilmslow South Jn	162	62	176	53	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP1	Wilmslow South Jn – Cheadle Hulme North Jn	176	53	180	67	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP1	Cheadle Hulme North Jn - Edgeley Jn No.1	180	67	182	36	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP2	Edgeley Jn No.1 - Edgeley Jn	182	36	182	59	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP2	Edgeley Jn – Slade Lane Jn	182	59	186	46	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP2	Slade Lane Jn – Ardwick Jn	186	46	188	08	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP2	Ardwick Jn – Manchester Piccadilly East Jn	188	08	188	48	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5001	CMP2	Manchester Piccadilly East Jn – Manchester Piccadilly	188	48	188	70	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5003	STY	Wilmslow South Jn – Heald Green South Jn	0	00	2	50	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5003	STY	Heald Green South Jn – Heald Green North Jn	2	50	3	13	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5003	STY	Heald Green North Jn – Slade Lane Jn	3	13	9	44	8	Y	Y	Y	Y	Y	Y	
London-North-Western-North	1004	NW5005	SMA	Heald Green South Jn – Heald Green West Jn	1	48	1	10	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	1004	NW5007	MIA	Manchester Airport – Heald Green North Jn	0	00	1	51	8	Y	Y	Y	Y	Y	N	
London-North-Western-North	1004	NW5008	LEC6	Little Bridgeford Jn – Searchlight Lane Jn (Change of ELR and mileage) (Up line only)	137	42	138	55	8	Y	Y	Y	Y	N	Y	
London-North-Western-North	1004	NW5008	NBS	Searchlight Lane Jn (Change of ELR and mileage) – Stone Jn	4	06	0	00	8	Y	Y	Y	Y	N	Y	
London-North-Western-North	1004	NW5008	NBS	Norton Bridge Jn – Yamfield Jn (Norton Bridge East Chord)	4	14	2	50	-	N	N	N	N	N	N	
London-North-Western-North	1004	NW5009	CMD2	Colwich Jn – Stone Jn	38	61	27	00	8	Y	Y	Y	Y	N	Y	
London-North-Western-North	1004	NW5009	CMD2	Stone Jn – Stoke Jn	27	00	20	36	8	Y	Y	Y	Y	N	Y	
London-North-Western-North	1004	NW5009	CMD2	Stoke Jn – Glebe Street Jn	20	36	20	10	8	Y	Y	Y	Y	N	Y	
