Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	Loco Gauge	Notes
London-North-Western-North	1038	NW9021	BEJ	Buxton – Hazel Grove East Jn	19	09	2	35	8	R1 R2 R3 R4	R1 Prohibited between Dove Holes and Chapel-en-le-Frith on the Down Main line R2 Prohibited between Dove Holes and Chapel-en-le-Frith on the Up Main line R3 Prohibited between New Mills Newtown and Disley on the Down Main line R4 Prohibited between New Mills Newtown and Disley on the Up Main line
London-North-Western-North	1038	NW9901	SKW1	Route Boundary (LN922) (Gargrave) – Settle Jn	230	00	234	44	8	Y	
London-North-Western-North	1038	NW9901	SAC	Settle Jn – Petteril Bridge Jn	234	44	307	12	8	Y	
London-North-Western-North	1038	NW9901	NEC2	Petteril Bridge Jn – London Road Jn	59	26	59	45	8	Y	
London-North-Western-North	1038	NW9901	NEC2	London Road Jn – Carlisle South Jn	59	45	60	02	8	Y	
London-North-Western-North	1038	NW9903	SKW1	Settle Jn – Change of Mileage (Wennington)	234	44	249	44	8	Y	
London-North-Western-North	1038	NW9903	SJC	Change of Mileage (Wennington) – Change of Mileage (Site of former Carnforth East Jn)	9	45	0	31	8	R1	R1 Prohibited on the Down Branch line
London-North-Western-North	1038	NW9903	CEC	Change of Mileage (Site of former Carnforth East Jn) – Carnforth Station Jn	0	25	0	04	8	Y	
London-North-Western-North	1038	NW9907	WAR	Appleby North Jn – Appleby West Jn	277	27	277	56	7	Y	
London-North-Western-North	1038	NW9907	EDE	Network Rail Boundary (Warcop) – End of Line	11	03	11	46	7	Y	
London-North-Western-North	1038	NW9909	NEC2	Route Boundary (LN682) (Corby Gates) – Petteril Bridge Jn	58	00	59	26	8	Y	
London-North-Western-North	1038	NW9911	NGD	London Road Jn – Bog Jn (Newcastle Goods lines)	0	00	0	25	8	Y	
