Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	380	385	390	397	507	508	Notes
London-North-Western-North	0929	NW5009	MCH	Macclesfield Hibel Road (Change of ELR) – Cheadle Hulme North Jn	9	37	0	00	N	N	T	N	N	N	
London-North-Western-North	0929	NW5010	SCQ1	Glebe Street Jn – Change of Mileage	20	08	20	33	N	N	N	N	N	N	Line out of use
London-North-Western-North	0929	NW5010	SCQ1	Change of Mileage – Change of Mileage (Site of former Milton Jn)	0	00	3	51	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0929	NW5010	SCQ2	Change of Mileage (Site of former Milton Jn) – Change of Mileage (Site of former Leek Brook Jn)	0	00	6	65	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0929	NW5010	SCQ3	Change of Mileage (Site of former Leek Brook Jn) – Caldon Quarry	0	00	8	01	N	N	N	N	N	N	Line leased to Moorland & City Railways Ltd
London-North-Western-North	0929	NW5011	HNS	Heaton Norris Jn – Guide Bridge Station Jn	0	00	4	73	N	N	H R1 R2	N	N	N	R1 Prohibited Heaton Norris Up Goods Loop R2 Prohibited between Denton Jn and Guide Bridge Station Jn
London-North-Western-North	0929	NW5012	NSS	Route Boundary (LN3505) (North Stafford Jn) – Stoke Jn	1	40	0	00	N	N	N	N	N	N	
London-North-Western-North	0929	NW5013	DJO1	Denton Jn – Change of Mileage (Site of former Crowthorne Jn)	4	10	5	28	N	N	H	N	N	N	
London-North-Western-North	0929	NW5013	DJO2	Change of Mileage (Site of former Crowthorne Jn) – Change of Mileage (Site of former Ashton Moss South Jn)	0	53	1	19	N	N	H	N	N	N	
London-North-Western-North	0929	NW5013	AMJ	Change of Mileage (Site of former Ashton Moss South Jn) – Ashton Moss North Jn	0	00	0	40	N	N	H	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Hadfield – Dinting East Jn	12	61	12	00	N	N	N	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Dinting East Jn – Dinting West Jn	12	00	11	66	N	N	N	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Dinting West Jn – Hyde Jn	11	66	6	16	N	N	N	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Hyde Jn – Guide Bridge West Jn	6	16	5	10	N	N	N	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Guide Bridge West Jn – Guide Bridge Station Jn	5	10	4	73	N	N	N	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Guide Bridge Station Jn – Ashburys East Jn	4	73	1	56	N	N	N	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Ashburys East Jn – Ashburys West Jn	1	56	1	36	N	N	N	N	N	N	
London-North-Western-North	0929	NW5015	HAJ	Ashburys West Jn – Ardwick Jn	1	36	0	40	N	N	N	N	N	N	
London-North-Western-North	0929	NW5017	DSD	Dinting South Jn – Dinting East Jn	0	72	1	05	N	N	N	N	N	N	
London-North-Western-North	0929	NW5019	GDW	Glossop – Dinting South Jn	0	01	0	72	N	N	N	N	N	N	
London-North-Western-North	0929	NW5019	GDW	Dinting South Jn – Dinting West Jn	0	72	1	05	N	N	N	N	N	N	
London-North-Western-North	0929	NW5021	SAJ	Stalybridge Jn – Guide Bridge West Jn	2	08	0	04	N	N	N	E	N	N	
