Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	W7A	W8A	W9A	LG2	PG1	PG2	LSVG	Notes
London-North-Western-North	1058	NW1021	NGJ	Newton-le-Willows Jn – Golborne Jn	0	00	0	53	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW1023	HOB2	Haydock Branch Jn – End of line (former Kelbit PS)	0	00	0	53	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW1025	IMG	Bamfurlong Sidings Jn – Ince Moss Jn (Ince Moss Goods lines)	0	18	0	78	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW1027	PSR1	Preston South Jn – Preston Docks Branch ELR Change	21	39	21	47	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW1027	PSR2	Preston Docks Branch ELR Change – Network Rail Boundary (Ribble Steam Railway)	0	00	0	40	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2001	WJL1	Weaver Jn – Ditton East Jn	174	53	182	67	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2001	WJL2	Ditton East Jn – Speke East Jn	182	67	186	72	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2001	WJL3	Speke Est Jn – Edge Hill East Jn	186	72	191	75	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2001	WJL4	Edge Hill East Jn – Liverpool Lime Street	191	75	193	52	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2003	RDB	Runcorn – Network Rail Boundary (Runcorn Dock Branch)	0	02	0	69	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2005	SCR	Speke East Jn – Garston Jn	22	59	23	52	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2007	AEG	Allerton East Jn – Garston Jn	0	00	0	28	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2009	SDJ2	End of line (Latchford) – Ditton East Jn	10	06	18	55	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2011	WOA1	Walton Old Jn – Arpley Jn	0	68	0	00	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2015	DSE	Ordsall Lane Jn – Newton-le-Willows Jn	30	38	16	19	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2015	DSE	Newton-le-Willows Jn – Earlestown East Jn (Electrified section)	16	19	14	75	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2015	DSE	Earlestown East Jn – Edge Hill	14	75	1	78	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2017	SCN	Eccles Station Jn – Weaste Branch Network Rail / MSC Boundary	0	00	0	54	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2019	PJL	Parkside Jn – Lowton Jn (East Curve lines)	0	05	0	36	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2021	EEE	Earlestown South Jn – Earlestown West Jn (Liverpool Curve)	186	74	187	15	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2023	SBH3	Springs Branch Jn – Gerards Bridge Jn	12	54	5	66	N	N	N	N	N	N	N	
London-North-Western-North	1058	NW2023	SBH2	Gerards Bridge Jn – St Helens Station Jn	5	66	5	12	N	N	N	N	N	N	N	
