London-North-Western-North	0955	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	59	60	66	67	68	70	73	97/3	Notes
London-North-Western-North	0955	NW7005	CEH	Castleton East Jn	Castleton North Jn	Castleton East Jn – Castleton North Jn	0	00	0	37	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7005	CPI1	Castleton South Jn	Castleton North Jn	Castleton South Jn – Castleton North Jn	8	21	8	50	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7005	CPI2	Castleton North Jn	Network Rail / East Lancashire Railway Boundary (Hopwood)	Castleton North Jn – Network Rail / East Lancashire Railway Boundary (Hopwood)	8	50	9	04	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7006	SFO	Todmorden Viaduct Jn	Stansfield Hall Jn	Todmorden Viaduct Jn – Stansfield Hall Jn	0	0	0	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7007	FCO	Farington Curve Jn	Ormskirk	Farington Curve Jn – Ormskirk	25	64	12	15	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR1	Farington Curve Jn	Lostock Hall Depot	Farington Curve Jn - Lostock Hall Depot	0	00	0	75	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR2	Lostock Hall Depot	Lostock Hall Jn	Lostock Hall Depot – Lostock Hall Jn	0	75	1	42	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR3	Lostock Hall Jn	Change of ELR (Site of Former Bamber Bridge Jn)	Lostock Hall Jn – Change of ELR (Site of Former Bamber Bridge Jn)	1	42	2	10	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR4	Change of ELR (Site of Former Bamber Bridge Jn)	Blackburn Bolton Jn	Change of ELR (Site of Former Bamber Bridge Jn) – Blackburn Bolton Jn	2	10	10	11	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR4	Blackburn Bolton Jn	Blackburn	Blackburn Bolton Jn – Blackburn	10	11	10	42	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR5	Blackburn	Daisyfield Jn	Blackburn – Daisyfield Jn	10	42	11	09	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR5	Daisyfield Jn	Gannow Jn	Daisyfield Jn – Gannow Jn	11	09	21	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7009	FHR6	Gannow Jn	Hall Royd Jn	Gannow Jn – Hall Royd Jn	21	03	30	54	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7011	LHL	Farington Jn	Limit of Electrification	Farington Jn - Limit of Electrification	0	00	0	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7011	LHL	Limit of Electrification	Lostock Hall Jn (Lostock Hall Lines)	Limit of Electrification - Lostock Hall Jn (Lostock Hall Lines)	0	56	0	77	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7013	DJH	Daisyfield Jn	Hellifield	Daisyfield Jn – Hellifield	11	09	34	68	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7015	PRG	End of Line (Padiham Power Station Sidings)	Rose Grove West Jn	End of Line (Padiham Power Station Sidings) – Rose Grove West Jn	1	76	0	00	7	N	N	N	N	N	N	N	N	Line out of use
London-North-Western-North	0955	NW7017	GJC	Gannow Jn	Colne	Gannow Jn – Colne	21	03	27	37	8	R1	R1	R1	R1	R1	R1	R1	R1	R1 30mph over Bridge 91 (25m 33ch - 25m 34ch)
London-North-Western-North	0955	NW7019	MPR2	Thorpes Bridge Jn	Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	Thorpes Bridge Jn – Network Rail Boundary (Metrolink (Down Up Boundary at 2m 32ch))	2	22	3	05	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Western-North	0955	NW7021	MVL1	Miles Platting Jn	Philips Park West Jn	Miles Platting Jn – Philips Park West Jn	1	30	1	59	8	Y	Y	Y	Y	Y	Y	Y	Y	
