Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	150	153	156	158	165	168	170	Notes
Anglia	0401	EA1440	FEL	Felixstowe Beach Jn – Felixstowe town	83	57	84	30	Y	Y	Y	N	N	N	Y	
Anglia	0401	EA1450	TFN	Trimley – Port of Felixstowe North Quay Terminal	0	00	0	18	N	N	N	N	N	N	N	
Anglia	0401	EA1460	FED	Felixstowe Beach Jn – Felixstowe Beach	83	57	86	34	N	N	N	N	N	N	N	
Anglia	0401	EA1470	NOL	Thorpe Jn – Limit of Electrification	0	09	0	79	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1470	NOL	Limit of Electrification – Reedham Jn	0	79	12	34	Y	R1	Y	Y	N	N	Y	R1 Prohibited Cantley Down platform with deflated suspension
Anglia	0401	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1480	WHC1	Whitlingham Jn – North Walsham (End of Station Loop)	1	69	16	30	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1480	WHC1	North Walsham (End of Station Loop) – Change of Mileage (Site of Former Roughton Road Jn)	16	30	24	00	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1480	WHC2	Change of Mileage (Site of Former Roughton Road Jn) – Change of Mileage (Site of Former Runton East Jn)	11	54	13	48	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1480	WHC3	Change of Mileage (Site of Former Runton East Jn) – Cromer	45	64	46	42	Y	R1	Y	Y	N	N	Y	R1 Prohibited Cromer platform 1 with deflated suspension
Anglia	0401	EA1490	CRS	Cromer Jn – Network Rail Boundary (North Norfolk Railway)	46	27	42	69	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	Y	R1	Y	Y	N	N	Y	R1 Prohibited Yarmouth platform 2
Anglia	0401	EA1500	RBY	Breydon Access No24 LC (EA1510) – Yarmouth	19	13	20	45	Y	R1	Y	Y	N	N	Y	R1 Prohibited Yarmouth platform 2
Anglia	0401	EA1510	RBY	Reedham Jn – Breydon Access No24 LC	12	34	19	13	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	N	N	N	N	N	N	N	
Anglia	0401	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1540	SOB1	Chippenham Jn – Site of Former Snailwell Jn	0	63	0	00	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1540	SOB2	Site of Former Snailwell Jn – Ely Dock Jn	1	54	12	33	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1550	EWC	Ely North Jn – Ely West Jn (Ely West Curve)	71	63	72	63	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1560	EMP	Ely West Jn – Route Boundary (LN135) (Peterborough)	72	39	98	40	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1570	WIG	March East Jn – Whitemoor Jn	85	78	86	18	N	N	N	N	N	N	N	
Anglia	0401	EA1570	MWL	March West Jn – Whitemoor Jn	0	00	0	13	N	N	N	N	N	N	N	
Anglia	0401	EA1570	WIG	Whitemoor Jn – Wisbech	86	18	93	60	N	N	N	N	N	N	N	Line out of use (temporarily)
Anglia	0401	EA1580	ETN	Ely North Jn – Trowse Jn	71	72	123	00	Y	Y	Y	Y	N	N	Y	
Anglia	0401	EA1744	BFC	Europa Jn – Boss Hall Jn	0	00	0	63	Y	Y	Y	N	N	N	Y	
