Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0450	EA1380	FSS2	Barking Tilbury Jn East – Upminster	7	60	15	20	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1380	FSS2	Upminster – Southend Central	15	20	35	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1380	FSS3	Southend Central – Shoeburyness	35	55	39	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1390	TLL	Barking Tilbury Line Jn East – Former Tilbury West Jn	7	60	22	06	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1390	TLL	Former Tilbury West Jn – Pitsea Jn	22	06	32	43	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1400	GFB	Gas Factory Jn – Bow Jn	2	57	3	47	3	Y	N	Y	Y	Y	Y	R1	Y	R1 Classes 37/3, 37/4. 37/6 prohibited
Anglia	0450	EA1410	FSS2	Upminster – Upminster East Jn	15	20	15	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1410	UPG	Upminster East Jn – West Thurrock Jn	0	00	6	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1420	THN	Thames Haven Jn – Thames Haven	26	41	30	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1430	ESK	East Suffolk Jn – Westerfield Jn	69	41	73	23	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1430	ESK	Westerfield Jn – Oulton Broad North Jn	73	23	116	27	7	R1	R1	R1	R1	R1	R1	R1	R1	R1 20mph over Bridge 429 River Deben (81m 73ch – 81m 76ch) NC/G1/2016/ANG/005 until 31 March 2022
Anglia	0450	EA1440	FEL	Westerfield Jn – Felixstowe Beach Jn	73	23	83	57	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1440	FEL	Felixstowe Beach Jn – Felixstowe town	83	57	84	30	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1450	TFN	Trimley – Port of Felixstowe North Quay Terminal	0	00	0	18	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1460	FED	Felixstowe Beach Jn – Felixstowe Beach	83	57	86	34	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1470	NOL	Thorpe Jn – Limit of Electrification	0	09	0	79	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1470	NOL	Limit of Electrification – Reedham Jn	0	79	12	34	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1470	NOL	Reedham Jn – Lowestoft	12	34	23	41	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1480	WHC1	Whitlingham Jn – North Walsham (End of Station Loop)	1	69	16	30	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1480	WHC1	North Walsham (End of Station Loop) – Change of Mileage (Site of Former Roughton Road Jn)	16	30	24	00	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1480	WHC2	Change of Mileage (Site of Former Roughton Road Jn) – Change of Mileage (Site of Former Runton East Jn)	11	54	13	48	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1480	WHC3	Change of Mileage (Site of Former Runton East Jn) – Cromer	45	64	46	42	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1490	CRS	Cromer Jn – Network Rail Boundary (North Norfolk Railway)	46	27	42	69	6	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0450	EA1500	NAY	Brundall Jn – Yarmouth Via Acle	5	72	18	29	7	Y	Y	Y	Y	Y	Y	Y	Y	
