Anglia	0474	Line of route	ELR	LineofRoute/SectorDescription		LineofRoute/SectorDescription	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
Anglia	0474	EA1120	MAH	ManningtreeEastJn	Harwich International Port	ManningtreeEastJn–HarwichInternationalPort	59	67	68	72	8	Y	
Anglia	0474	EA1120	MAH	HarwichInternationalPort	Harwich Town	HarwichInternationalPort–HarwichTown	68	72	70	61	8	Y	
Anglia	0474	EA1130	GRW	HalifaxJn	Griffin Wharf Boundary	HalifaxJn–GriffinWharfBoundary	0	00	0	47	8	Y	
Anglia	0474	EA1150	CST	ChannelseaSouthJn	Stratford Central Jn West	ChannelseaSouthJn–StratfordCentralJnWest	0	29	0	00	8	Y	
Anglia	0474	EA1160	BGK	BethnalGreenEastJn	Reading Lane Jn	BethnalGreenEastJn–ReadingLaneJn	1	10	2	55	4	Y	
Anglia	0474	EA1160	BGK	ReadingLaneJn	Hackney Downs North Jn	ReadingLaneJn–HackneyDownsNorthJn	2	55	3	04	4	Y	
Anglia	0474	EA1160	BGK	HackneyDownsNorthJn	Coppermill Jn	HackneyDownsNorthJn–CoppermillJn	3	04	4	74	8	Y	
Anglia	0474	EA1160	BGK	CoppermillJn	Tottenham South Jn	CoppermillJn–TottenhamSouthJn	4	74	5	41	8	Y	
Anglia	0474	EA1160	BGK	TottenhamSouthJn	Bishops Stortford (Cannons Mill Lane Footpath LC (R/G-X)	TottenhamSouthJn–BishopsStortford(CannonsMillLaneFootpathLC(R/G-X)	5	41	31	31	8	R1 R2	R1 Prohibited between Broxbourne and Broxbourne Jn on the Up Cambridge line R2 Prohibited Harlow Town platfrom 4 (Down Loop)
Anglia	0474	EA1161	BGK	(CannonsMillLaneFootpathLC(R/G-X)StanstedMountfitchet	Shepreth Branch Jn	(CannonsMillLaneFootpathLC(R/G-X)StanstedMountfitchet–SheprethBranchJn	31	31	53	06	8	Y	
Anglia	0474	EA1161	BGK	SheprethBranchJn	Ely Dock Jn	SheprethBranchJn–ElyDockJn	53	06	69	79	8	R1	R1 Prohibited Cambridge bay platform 3 (Down Slow line)
Anglia	0474	EA1161	BGK	ElyDockJn	Ely North Jn	ElyDockJn–ElyNorthJn	69	79	71	68	8	Y	
Anglia	0474	EA1162	BGK	ElyNorthJn	Kings Lynn	ElyNorthJn–KingsLynn	71	68	96	75	8	Y	
Anglia	0474	EA1170	HDT	HackneyDownsNorthJn	Seven Sisters Jn	HackneyDownsNorthJn–SevenSistersJn	3	04	5	70	8	R1	R1 Prohibited Rectory Road platform 1 (Up Southbury)
Anglia	0474	EA1170	HDT	SevenSistersJn	Bury Street Jn	SevenSistersJn–BuryStreetJn	5	70	9	20	8	Y	
Anglia	0474	EA1170	ENT	BuryStreetJn	Enfield Town	BuryStreetJn–EnfieldTown	9	20	10	55	8	Y	
Anglia	0474	EA1180	GRE	ReadingLaneJn	Navarino Road Jn (Graham Rd Curve)	ReadingLaneJn–NavarinoRoadJn(GrahamRdCurve)	2	55	2	79	8	Y	
Anglia	0474	EA1190	HDT	BuryStreetJn	Cheshunt Jn	BuryStreetJn–CheshuntJn	9	20	14	28	8	Y	
Anglia	0474	EA1200	CJC	ClaptonJn	Chingford	ClaptonJn–Chingford	4	37	10	33	7	R1	R1 Prohibited Walthamstow Central platform 2 (Down line)
Anglia	0474	EA1210	HEB	BroxbourneJn	Hertford East	BroxbourneJn–HertfordEast	18	35	24	19	9	Y	
Anglia	0474	EA1220	TLA	StanstedSouthJn	Stansted East Jn	StanstedSouthJn–StanstedEastJn	33	54	34	26	8	Y	
Anglia	0474	EA1220	TEN	StanstedNorthJn	Stansted East Jn	StanstedNorthJn–StanstedEastJn	0	00	0	49	8	Y	
Anglia	0474	EA1220	TLA	StanstedEastJn	Stansted Airport	StanstedEastJn–StanstedAirport	34	26	36	67	8	Y	
Anglia	0474	EA1230	SBR	RouteBoundary(LN125)(Royston)	Shepreth Branch Jn	RouteBoundary(LN125)(Royston)–SheprethBranchJn	45	60	55	26	9	Y	
Anglia	0474	EA1270	MIT	KingsLynnJn	Middleton towers	KingsLynnJn–Middletontowers	0	22	3	44	8	Y	
