Anglia	0436	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	58	Notes
Anglia	0436	EA1013	LTN2	Trowse Jn	Trowse Swing Bridge	Trowse Jn – Trowse Swing Bridge	123	00	123	37	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1013	NCW	Trowse Swing Bridge	Wensum Jn (EA1470 / ELR NOL 0m 60ch) via Through Sidings / Wensum Curve	Trowse Swing Bridge – Wensum Jn (EA1470 / ELR NOL 0m 60ch) via Through Sidings / Wensum Curve	0	00	0	28	8	N	N	Y	N	Y	N	Y	Y	
Anglia	0436	EA1013	LTN2	Trowse Swing Bridge	Norwich	Trowse Swing Bridge – Norwich	123	37	124	09	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1020	CNS	Carpenters Rd South Jn	Carpenters Rd North Jn	Carpenters Rd South Jn – Carpenters Rd North Jn	1	12	0	70	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1030	FGW	Forest Gate Jn	Woodgrange Park Jn	Forest Gate Jn – Woodgrange Park Jn	0	00	0	31	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1040	ROU	Romford	Upminster	Romford – Upminster	0	00	3	30	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1050	SSV	Shenfield Jn	Southend Victoria	Shenfield Jn – Southend Victoria	20	22	41	42	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1060	WIS	Wickford Jn	Southminster	Wickford Jn – Southminster	29	13	45	42	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1070	BRA	Witham	Braintree	Witham – Braintree	24	15	17	71	6	N	N	Y	N	Y	N	Y	N	
Anglia	0436	EA1080	SUD	Marks Tey Jn	Sudbury	Marks Tey Jn – Sudbury	45	53	58	32	6	N	N	Y	N	Y	N	Y	N	
Anglia	0436	EA1090	COC	Colchester Jn	Clacton	Colchester Jn – Clacton	52	28	69	56	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1100	STB	East Gate Jn	Colne Jn	East Gate Jn – Colne Jn	53	14	53	30	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1100	CTH	Hythe Jn	Colne Jn	Hythe Jn – Colne Jn	0	22	0	00	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1100	STB	Colne Jn	Colchester Town	Colne Jn – Colchester Town	53	30	53	76	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1110	TWN	Thorpe-Le-Soken Jn	Walton-On- Naze	Thorpe-Le-Soken Jn – Walton-On- Naze	65	19	70	15	7	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1120	MAH	Manningtree South Jn	Manningtree East Jn	Manningtree South Jn – Manningtree East Jn	59	35	59	67	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1120	NTE	Manningtree North Jn	Manningtree East Jn	Manningtree North Jn – Manningtree East Jn	0	00	0	24	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1120	MAH	Manningtree East Jn	Harwich International Port	Manningtree East Jn – Harwich International Port	59	67	68	72	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1120	MAH	Harwich International Port	Harwich town	Harwich International Port – Harwich town	68	72	70	61	8	Y	N	Y	Y	Y	Y	Y	Y	
Anglia	0436	EA1130	GRW	Halifax Jn	Griffin Wharf Boundary	Halifax Jn – Griffin Wharf Boundary	0	00	0	47	8	R1	N	Y	Y	Y	Y	Y	Y	R1 Prohibited if fitted with roof horns
Anglia	0436	EA1150	CST	Channelsea South Jn	Stratford Central Jn West	Channelsea South Jn – Stratford Central Jn West	0	29	0	00	8	Y	N	Y	Y	Y	Y	Y	Y	
