Anglia	0434	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0434	EA1570	WIG	Whitemoor Jn	Wisbech	Whitemoor Jn – Wisbech	86	18	93	60	6	N	N	N	N	N	N	N	N	Line out of use (temporarily)
Anglia	0434	EA1580	ETN	Ely North Jn	Trowse Jn	Ely North Jn – Trowse Jn	71	72	123	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0434	EA1744	BFC	Europa Jn	Boss Hall Jn	Europa Jn – Boss Hall Jn	0	00	0	63	10	Y	Y	Y	Y	Y	Y	Y	Y	
