Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	360	365	377	378	379	380	387	499	700	Notes
Anglia	0427	EA1325	ELL1	Canal Jn – TFL / Network Rail Boundary (SO510) (Via Up East London Line) (TFL Infrastructure)	5	21	5	52	EH R1 R2 R3	N	E R1 R2 R3 R4 R5 R6	Y	EH R1 R2 R3	EH R1 R2 R3	N	N	N	R1 Can only run when authorised by Rail for London and only run or operate under Special Traffic Notice subject to any operational restrictions published within the notice R2 Not to exceed 25mph R3 Prohibited with deflated suspension R4 Must be hauled if busline exceeds 80 metres. Shoegear isolated. R5 Regen Braking must be switched off Class 377/2, /3, /5 and /7 must be hauled
Anglia	0427	EA1325	ELL1	Canal Jn – TFL / Network Rail Boundary (SO510) (Via Down East London Line) (TFL Infrastructure)	5	21	5	73	EH R1 R2 R3	N	E R1 R2 R3 R4 R5 R6	Y	EH R1 R2 R3	EH R1 R2 R3	N	N	N	R1 Can only run when authorised by Rail for London and only run or operate under Special Traffic Notice subject to any operational restrictions published within the notice R2 Not to exceed 25mph, 5mph through station platform and 10mph on section Canal Jn- 131points (DN)) R3 Prohibited with deflated suspension R4 Must be hauled if busline exceeds 80 metres. Shoegear isolated. R5 Regen Braking must be switched off Class 377/2, /3, /5 and /7 must be hauled
Anglia	0427	EA1325	ELL2	Canal Jn – Lewisham (TFL Infrastructure)	5	21	5	78	N	N	N	Y	N	N	N	N	N	
Anglia	0427	EA1327	ELL3	Silwood Jn – ELL/Network Rail Boundary (TFL Infrastructure)	4	66	5	51	N	N	N	Y	N	N	N	N	N	
Anglia	0427	EA1327	ELL4	ELL/Network Rail Boundary – Old Kent Road Jn (SO680)	2	23	2	32	N	N	N	Y	N	N	N	N	N	
Anglia	0427	EA1330	BOK 5	South Acton Jn – Kew East Jn	2	52	3	27	N	N	N	N	N	N	N	N	N	
Anglia	0427	EA1330	NKE1	Kew East Jn – Route Boundary (SW230) (New Kew Jn)	3	27	3	39	N	N	N	N	N	N	N	N	N	R1 OPPOS applies between Kew East Jn and New Kew Jn
Anglia	0427	EA1330	BOK5	Kew East Jn – Route Boundary (SW230) (Old Kew Jn)	3	27	3	61	N	N	N	N	N	N	N	N	N	
Anglia	0427	EA1340	LLS2	Lea Jn – High Meads Jn	0	51	0	65	N	N	N	E	N	N	E	N	N	
Anglia	0427	EA1350	CHM	Channelsea North Jn – High Meads Jn	0	00	0	15	E	N	N	E	Y	N	E	N	N	
Anglia	0427	EA1350	LLS1	High Meads Jn – Temple Mills East Jn	0	15	0	59	E	N	N	E	Y	N	E	N	N	
