Anglia	0412	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	360	365	373	377	378	379	380	387	499	700	Notes
Anglia	0412	EA1380	FSS2	Barking Tilbury Jn West	Barking Tilbury Jn East	Barking Tilbury Jn West – Barking Tilbury Jn East	7	33	7	60	N	N	N	N	N	N	N	Y	N	N	
Anglia	0412	EA1380	FSS2	Barking Tilbury Jn East	Upminster	Barking Tilbury Jn East – Upminster	7	60	15	20	N	N	N	N	N	N	N	R1	N	N	R1 Prohibited in crush laden condition with deflated suspension Dagenham East Up platform
Anglia	0412	EA1380	FSS2	Upminster	Southend Central	Upminster – Southend Central	15	20	35	55	N	N	N	N	N	N	N	R1 R2	N	N	R1 Prohibited in crush laden condition with deflated suspension Leigh-on-Sea platform 3 and Southend Central platforms 1, 2 and 4 R2 Prohibited Upminster Bay platform 1a,
Anglia	0412	EA1380	FSS3	Southend Central	Shoeburyness	Southend Central – Shoeburyness	35	55	39	40	N	N	N	N	N	N	N	R1	N	N	R1 Prohibited in crush laden condition with deflated suspension Southend East platform 1
Anglia	0412	EA1390	TLL	Barking Tilbury Line Jn East	Former Tilbury West Jn	Barking Tilbury Line Jn East – Former Tilbury West Jn	7	60	22	06	N	N	N	N	E R1	N	N	N	N	N	R1 Prohibited Grays East Jn to Former Tilbury West Jn
Anglia	0412	EA1390	TLL	Former Tilbury West Jn	Pitsea Jn	Former Tilbury West Jn – Pitsea Jn	22	06	32	43	N	N	N	N	N	N	N	R1	N	N	R1 Prohibited with deflated suspension Dagenham Dock Up & Down platforms and Grays Down platform
Anglia	0412	EA1400	GFB	Gas Factory Jn	Bow Jn	Gas Factory Jn – Bow Jn	2	57	3	47	N	N	N	N	N	N	N	Y	N	N	
Anglia	0412	EA1410	FSS2	Upminster	Upminster East Jn	Upminster – Upminster East Jn	15	20	15	39	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1410	UPG	Upminster East Jn	West Thurrock Jn	Upminster East Jn – West Thurrock Jn	0	00	6	56	N	N	N	N	N	N	N	Y	N	N	
Anglia	0412	EA1420	THN	Thames Haven Jn	Thames Haven	Thames Haven Jn – Thames Haven	26	41	30	18	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1430	ESK	East Suffolk Jn	Westerfield Jn	East Suffolk Jn – Westerfield Jn	69	41	73	23	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1430	ESK	Westerfield Jn	Oulton Broad North Jn	Westerfield Jn – Oulton Broad North Jn	73	23	116	27	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1440	FEL	Westerfield Jn	Felixstowe Beach Jn	Westerfield Jn – Felixstowe Beach Jn	73	23	83	57	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1440	FEL	Felixstowe Beach Jn	Felixstowe town	Felixstowe Beach Jn – Felixstowe town	83	57	84	30	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1450	TFN	Trimley	Port of Felixstowe North Quay Terminal	Trimley – Port of Felixstowe North Quay Terminal	0	00	0	18	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1460	FED	Felixstowe Beach Jn	Felixstowe Beach	Felixstowe Beach Jn – Felixstowe Beach	83	57	86	34	N	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1470	NOL	Thorpe Jn	Limit of Electrification	Thorpe Jn – Limit of Electrification	0	09	0	79	E	N	N	N	N	N	N	N	N	N	
Anglia	0412	EA1470	NOL	Limit of Electrification	Reedham Jn	Limit of Electrification – Reedham Jn	0	79	12	34	N	N	N	N	N	N	N	N	N	N	
