Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0448	EA1325	ELL1	Canal Jn – TFL / Network Rail Boundary (SO510) (Via Up East London Line) (TFL Infrastructure)	5	21	5	52	8	N	N	N	E R1 R2	E R1 R2	N	E R1 R2 R3	N	R1 Can only run when authorised by Rail for London and only run or operate under Special Traffic Notice subject to any operational restrictions published within the notice R2 Not to exceed 25mph CLASS 37/0 ONLY
Anglia	0448	EA1325	ELL1	Canal Jn – TFL / Network Rail Boundary (SO510) (Via Down East London Line) (TFL Infrastructure)	5	21	5	73	8	N	N	N	E R1 R2	E R1 R2	N	E R1 R2 R3	N	R1 Can only run when authorised by Rail for London and only run or operate under Special Traffic Notice subject to any operational restrictions published within the notice R2 Not to exceed 25mph, 5mph through station platform and 10mph on section Canal Jn- 131points (DN) CLASS 37/0 ONLY
Anglia	0448	EA1325	ELL2	Canal Jn – Lewisham (TFL Infrastructure)	5	21	5	78	8	N	N	N	N	N	N	N	N	
Anglia	0448	EA1327	ELL3	Silwood Jn – ELL/Network Rail Boundary (TFL Infrastructure)	4	66	5	51	8	N	N	N	N	N	N	N	N	
Anglia	0448	EA1327	ELL4	ELL/Network Rail Boundary – Old Kent Road Jn (SO680)	2	23	2	32	8	N	N	N	N	N	N	N	N	
Anglia	0448	EA1330	BOK 5	South Acton Jn – Kew East Jn	2	52	3	27	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1330	NKE1	Kew East Jn – Route Boundary (SW230) (New Kew Jn)	3	27	3	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1330	BOK5	Kew East Jn – Route Boundary (SW230) (Old Kew Jn)	3	27	3	61	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1340	LLS2	Lea Jn – High Meads Jn	0	51	0	65	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1350	CHM	Channelsea North Jn – High Meads Jn	0	00	0	15	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1350	LLS1	High Meads Jn – Temple Mills East Jn	0	15	0	59	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1360	CAW	Route Boundary (LN3219) (Cricklewood Curve Jn) – Dudding Hill Jn	5	72	6	04	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1360	BDH	Route Boundary (LN3222) (Brent Curve Jn) – Dudding Hill Jn	0	54	1	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1360	CAW	Dudding Hill Jn – Neasden Jn	6	04	7	02	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1360	NJN (	Neasden Jn – Route Boundary (MD715) Neasden South Jn)	6	56	6	51	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1360	CAW	Neasden Jn – Acton Canal Wharf Jn	7	02	8	45	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0448	EA1360	ACW A (	cton Canal Wharf Jn – Route Boundary MD170) (Willesden Jn)	0	35	0	11	8	Y	Y	Y	Y	Y	Y	Y	Y	
