Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	59	60	66	67	68	70	73	97/3	MPV	Notes
Anglia	0469	EA1325	ELL1	Canal Jn – TFL / Network Rail Boundary (SO510) (Via Down East London Line) (TFL Infrastructure)	5	21	5	73	8	E R2 R5	N	E R2 R6	N	N	E R2 R5	R1 R2 R3 R4	N	N	R1 Can only run as part of the Track Recording Unit R2 Can only run when authorised by Rail for London and only run or operate under Special Traffic Notice subject to any operational restrictions published within the notice R3 15mph through platforms and not to exceed 20mph on the Infrastructure R4 Prohibited in diesel mode R5 Not to exceed 25mph, 5mph through station platform and 10mph on section Canal Jn-131points (DN) R6 Not to exceed 5mph
Anglia	0469	EA1325	ELL2	Canal Jn – Lewisham (TFL Infrastructure)	5	21	5	78	8	N	N	R2 R6	N	N	N	R1 R2 R3 R4 R5	N	N	R1 Can only run as part of the Track Recording Unit R2 Can only run when authorised by Rail for London and only run or operate under Special Traffic Notice subject to any operational restrictions published within the notice R3 15mph through platforms and not to exceed 20mph on the Infrastructure R4 Not to enter New Cross station platform (details contained in STN) R5 Prohibited in diesel mode R6 Not to exceed 5mph
Anglia	0469	EA1327	ELL3	Silwood Jn – ELL/Network Rail Boundary (TFL Infrastructure)	4	66	5	51	8	N	N	R1 R2	N	N	N	N	N	N	R1 Can only run when authorised by Rail for London and only run or operate under Special Traffic Notice subject to any operational restrictions published within the notice Not to exceed 5mph
Anglia	0469	EA1327	ELL4	ELL/Network Rail Boundary – Old Kent Road Jn (SO680)	2	23	2	32	8	N	N	Y	N	N	N	N	N	N	
Anglia	0469	EA1330	BOK 5	South Acton Jn – Kew East Jn	2	52	3	27	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0469	EA1330	NKE1	Kew East Jn – Route Boundary (SW230) (New Kew Jn)	3	27	3	39	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0469	EA1330	BOK5	Kew East Jn – Route Boundary (SW230) (Old Kew Jn)	3	27	3	61	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	
