Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
Anglia	0451	EA1500	RBY	Breydon Access No24 LC (EA1510) – Yarmouth	19	13	20	45	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1510	RBY	Reedham Jn – Breydon Access No24 LC	12	34	19	13	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1520	SIZ	Saxmundham Jn – Sizewell	91	40	95	79	7	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1530	CCH	Coldham Lane Jn – Haughley Jn	0	23	40	49	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1540	SOB1	Chippenham Jn – Site of Former Snailwell Jn	0	63	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1540	SOB2	Site of Former Snailwell Jn – Ely Dock Jn	1	54	12	33	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1550	EWC	Ely North Jn – Ely West Jn (Ely West Curve)	71	63	72	63	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1560	EMP	Ely North Jn – Ely West Jn	71	63	72	39	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1560	EMP	Ely West Jn – Route Boundary (LN135) (Peterborough)	72	39	98	40	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1570	WIG	March East Jn – Whitemoor Jn	85	78	86	18	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1570	MWL	March West Jn – Whitemoor Jn	0	00	0	13	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1570	WIG	Whitemoor Jn – Wisbech	86	18	93	60	6	N	N	N	N	N	N	N	N	Line out of use (temporarily)
Anglia	0451	EA1580	ETN	Ely North Jn – Trowse Jn	71	72	123	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
Anglia	0451	EA1744	BFC	Europa Jn – Boss Hall Jn	0	00	0	63	10	Y	Y	Y	Y	Y	Y	Y	Y	
