Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	Notes
Anglia	0432	EA1010	LTN1	Liverpool Street platforms 1-10 – Liverpool St (L) IECC	0	00	0	22	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1010	LVS	Liverpool Street platforms 11-17 – Liverpool St (L) IECC	0	00	0	22	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1010	LTN1	Liverpool St (L) IECC – Bethnal Green East Jn	0	22	1	10	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1010	LTN1	Bethnal Green East Jn – Mile End	1	10	2	02	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1010	LTN1	Mile End – Bow Jn	2	02	2	74	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1010	LTN1	Bow Jn – Carpenters Road South Jn	2	74	3	54	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1010	LTN1	Carpenters Road South Jn – Stratford Central Jn West	3	54	3	70	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1010	LTN1	Stratford Central Jn West – Stratford Central Jn East	3	70	3	75	Y	Y	Y	EH	N	Y	N		
Anglia	0432	EA1010	LTN1	Stratford Central Jn East – Forest Gate Jn	3	75	5	63	Y	Y	Y	EH	N	Y	N		
Anglia	0432	EA1010	LTN1	Forest Gate Jn – Ilford Depot London End	5	63	7	63	Y	Y	Y	N	N	Y	N	R1	
Anglia	0432	EA1010	LTN1	Ilford Depot London End – Seven Kings	7	63	8	45	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1011	LTN1	Seven Kings – Romford Jn	8	45	12	39	Y	Y	Y	N	N	Y	N		
Anglia	0432	EA1011	LTN1	Romford Jn – Shenfield Jn	12	39	20	22	Y	Y	R1	N	N	R1	N	R1	R2 Prohibited Harold Wood platform 3 (Up Electric) with deflated suspension
