Anglia	0380	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	150	153	156	158	165	168	170	Notes
Anglia	0380	EA1310	KGW	Kensal Green Jn	Route Boundary (MD150) (Willesden Suburban Jn)	Kensal Green Jn – Route Boundary (MD150) (Willesden Suburban Jn)	5	10	5	25	Y	N	N	N	E R1	E	N	R1 Route prohibited to Class 165/1
Anglia	0380	EA1310	BOK3	Kensal Green Jn	Willesden High Level Jn	Kensal Green Jn – Willesden High Level Jn	5	10	5	48	Y	N	N	N	E R1	E R2	Y	R1 Route prohibited to Class 165/1 R2 Prohibited with deflated suspension
Anglia	0380	EA1310	WMB	Willesden High Level Jn	Route Boundary (MD160) (Mitre Bridge Jn)	Willesden High Level Jn – Route Boundary (MD160) (Mitre Bridge Jn)	0	43	0	09	Y	N	N	N	N	N	N	
Anglia	0380	EA1310	BOK4	Willesden High Level Jn	Former Old Oak Jn (change of mileage)	Willesden High Level Jn – Former Old Oak Jn (change of mileage)	0	00	0	34	Y	N	N	N	E R1	E R2	Y	R1 Route Prohibited to Class 165/1 R2 Prohibited with deflated suspension
Anglia	0380	EA1310	BOK4	Former Old Oak Jn (change of mileage)	Acton Wells Jn (Connection EA1360)	Former Old Oak Jn (change of mileage) – Acton Wells Jn (Connection EA1360)	0	34	0	66	Y	N	N	N	E R1	E R2	Y	R1 Route Prohibited to Class 165/1 R2 Prohibited with deflated suspension
Anglia	0380	EA1310	BOK5	Acton Wells Jn (Connection to EA1360)	Acton Wells Jn (Connection to GW130)	Acton Wells Jn (Connection to EA1360) – Acton Wells Jn (Connection to GW130)	0	66	0	72	Y	N	N	N	E R1	E R2	Y	R1 Route Prohibited to Class 165/1 R2 Prohibited with deflated suspension
Anglia	0380	EA1310	AWL	Acton Wells Jn	Route Boundary (GW130) (Acton East Jn)	Acton Wells Jn – Route Boundary (GW130) (Acton East Jn)	0	49	0	39	Y	N	N	Y	E R1	E	N	R1 Route prohibited to Class 165/1
Anglia	0380	EA1310	BOK5	Acton Wells Jn (Connection to GW130)	Acton Central (Limit of AC)	Acton Wells Jn (Connection to GW130) – Acton Central (Limit of AC)	0	72	1	73	Y	N	N	N	N	N	Y	
Anglia	0380	EA1310	BOK5	Acton Central (Limit of AC)	South Acton Jn	Acton Central (Limit of AC) – South Acton Jn	1	73	2	52	Y	N	N	N	N	N	Y	
Anglia	0380	EA1310	SAR1	South Acton Jn	Gunnersbury Jn	South Acton Jn – Gunnersbury Jn	2	52	3	12	Y	N	N	N	N	N	Y	
Anglia	0380	EA1310	SAR2	Gunnersbury Jn	Richmond	Gunnersbury Jn – Richmond	9	72	12	39	Y	N	N	N	N	N	Y	
Anglia	0380	EA1320	CRC1/2	Route Boundary (MD145) (Camden Jn)	Camden Road West Jn	Route Boundary (MD145) (Camden Jn) – Camden Road West Jn	5	42	5	10	Y	N	N	N	N	N	Y	
Anglia	0380	EA1320	BOK1	Camden Road West Jn	Camden Road Central Jn	Camden Road West Jn – Camden Road Central Jn	5	10	4	64	Y	N	N	N	E	E R1	Y	R1 Prohibited with deflated suspension
Anglia	0380	EA1320	CRF1	Camden Road Central Jn	Route Boundary (LN115) (North London Incline)	Camden Road Central Jn – Route Boundary (LN115) (North London Incline)	0	51	0	20	Y	N	N	N	N	N	E	
Anglia	0380	EA1320	BOK1	Camden Road Central Jn	Canonbury West Jn	Camden Road Central Jn – Canonbury West Jn	4	64	3	12	Y	N	E	N	E	E R1	Y	R1 Prohibited with deflated suspension
Anglia	0380	EA1320	CFP	Canonbury West Jn	Route Boundary (LN110) (Finsbury Park)	Canonbury West Jn – Route Boundary (LN110) (Finsbury Park)	3	12	3	20	Y	N	E	N	N	N	E	
