Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5 A	Notes
London-North-Eastern	1154	LN912	TJG2	Thorne North Change of ELR – Gilberdyke Jn	14	06	0	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN914	HBS	West Parade Jn – West Parade North Jn	0	25	0	72	Y	Y	Y	N	N	N	N	N	Y	
London-North-Eastern	1154	LN914	HBS	West Parade North Jn – Walton Street Jn	0	72	1	29	Y	Y	Y	N	N	N	N	N	Y	
London-North-Eastern	1154	LN914	HBS	Walton Street Jn – Seamer West Jn	1	29	50	43	Y	Y	Y	N	N	N	N	N	R1	R1 Prohibited Bridlington platform 5
London-North-Eastern	1154	LN916	HJS	Hessle Road – Springbank North Jn	0	00	1	38	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN916	HJS	Springbank North Jn – Network Rail Boundary	1	38	5	62	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1154	LN918	SPW	Springbank North Jn – Walton Street Jn	1	54	1	29	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN920	AWP	Anlaby Road Jn – West Parade North Jn	0	00	0	24	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN922	TJC3	Whitehall West Jn – Skipton	195	57	221	01	Y	Y	Y	N	N	N	R1 R2	N	N	R1 30mph Shipley platform 2 R2 40mph Bingley Down platform
London-North-Eastern	1154	LN922	TJC3	Skipton – Site of former Skipton North Jn Change of ELR	221	21	221	68	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN922	SKW1	Site of former Skipton North Jn Change of ELR – Route Boundary (NW9901) (Settle Jn)	221	68	230	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN924	ILK1	Apperley Jn – Burley in Wharfedale	202	03	208	02	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN924	ILK2	Burley in Wharfedale – Ilkley	208	02	211	20	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN926	GUE2	Dockfield Jn – Esholt Jn	3	41	0	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN928	SBF	Shipley East Jn – Bradford Forster Square	205	54	208	50	Y	Y	Y	N	N	N	Y	N	N	
London-North-Eastern	1154	LN930	SKS1	Skipton Middle – Site of former Embsay Jn	222	68	220	64	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN930	SKS2	Site of former Embsay Jn – Network Rail Boundary (Tilcon Siding)	0	00	6	50	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1154	LN932	BIB	Shipley South Jn – Shipley West Jn	0	00	0	17	Y	Y	Y	N	N	N	N	N	N	
