London-North-Eastern	1007	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	1007	LN632	DSN3	Redcar Change of Mileage	Saltburn	Redcar Change of Mileage – Saltburn	22	16	27	57	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN634	MBW1	Guisborough Jn	Battersby Jn	Guisborough Jn – Battersby Jn	0	00	10	54	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN634	MBW2	Battersby Jn (End of Line)	Grosmont Jn	Battersby Jn (End of Line) – Grosmont Jn	11	61	29	66	R1	R1	R1	R1	R1	R1	R1	R1	R1	R1 See Sectional Appendix Local Instructions
London-North-Eastern	1007	LN634	MBW3	Grosmont Jn	Whitby	Grosmont Jn – Whitby	24	44	30	61	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN636	No ELR	Beam Mill Jn	Network Rail Boundary	Beam Mill Jn – Network Rail Boundary	18	03	18	67	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN638	WCI	Shell Jn	Network Rail Boundary	Shell Jn – Network Rail Boundary	0	00	1	03	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN642	SSK1	Saltburn West Jn	Network Rail Boundary (Cleveland Potash)	Saltburn West Jn – Network Rail Boundary (Cleveland Potash)	27	05	34	29	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN644	BOH	Hartburn Jn	Bowesfield SB (Hartburn Curve)	Hartburn Jn – Bowesfield SB (Hartburn Curve)	0	00	0	44	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN646	STF	Norton-on-Tees South	Ferryhill South Jn	Norton-on-Tees South – Ferryhill South Jn	0	00	10	72	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN648	NWE	Norton-on-Tees West	Norton-on-Tees East	Norton-on-Tees West – Norton-on-Tees East	0	29	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN652	POC1	Billingham Jn	Phillips Siding Jn	Billingham Jn – Phillips Siding Jn	0	00	3	25	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN652	POC2	Phillips Siding Jn	Seal Sands Branch Jn	Phillips Siding Jn – Seal Sands Branch Jn	3	25	5	01	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN652	SES	Seal Sands Branch Jn	End of NR maintenance	Seal Sands Branch Jn – End of NR maintenance	0	00	2	44	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN656	SOT	Seaton Snook Jn	Seaton-on-Tees	Seaton Snook Jn – Seaton-on-Tees	0	00	1	51	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN662	HNB	Ryhope Grange	Hendon	Ryhope Grange – Hendon	0	00	1	53	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN664	BNW	Boldon East Jn	Boldon North Jn	Boldon East Jn – Boldon North Jn	0	00	0	20	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN666	BGE	Boldon West Jn	Boldon North Jn	Boldon West Jn – Boldon North Jn	0	00	0	32	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN666	GLT	Boldon North Jn	Tyne Dock	Boldon North Jn – Tyne Dock	0	32	1	26	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN670	JAW1	Pelaw Jn	Network Rail Boundary (Shell Mex Depot Jarrow)	Pelaw Jn – Network Rail Boundary (Shell Mex Depot Jarrow)	0	09	3	36	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN672	FEP	Wardley	Pelaw Jn	Wardley – Pelaw Jn	19	70	20	75	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1007	LN674	HLK	High Level Bridge Jn	Greensfield Jn (West Curve)	High Level Bridge Jn – Greensfield Jn (West Curve)	0	00	0	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN676	PLG1	Park Lane Jn	Site of Former High Street Jn	Park Lane Jn – Site of Former High Street Jn	100	65	101	15	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1007	LN676	PLG2	Site of Former High Street Jn	Greensfield Jn	Site of Former High Street Jn – Greensfield Jn	0	00	0	21	Y	Y	Y	Y	Y	Y	Y	Y	Y	
