Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	37/5	Notes
London-North-Eastern	1231	LN3207	SPC9	Change of ELR (between Morton Jn and Clay Cross North Jn) – Clay Cross North Jn	142	10	143	12	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3210	JRT2	Route Boundary (EA1370) (Junction Road Jn) – Change of ELR (Between Tottenham North Curve No 2 and No 1 Tunnels)	2	38	2	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3210	JRT1	Change of ELR (Between Tottenham North Curve No 2 and No 1 Tunnels) – Carlton Road Jn (Tottenham Lines)	0	18	0	03	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3213	MCL	Route Boundary (SO280) (former Farringdon Jn) – Kentish Town Jn	0	66	3	58	5	N	N	N	R1 R2 R3	R1 R2 R3	R1 R2 R3 R4	N	N	R1 15mph maximum speed R2 OHLE must be switched off and Block To Electric Traction (BTET) imposed no requirement for earthing R3 Locomotives must not stand under insulators positioned directly above the track as the exhaust can damage the Overhead Line Equipment R4 Route prohibited to Class 33/0 and 33/1
London-North-Eastern	1231	LN3214	CBI	Canal Tunnel Jn – Belle Isle Jn	0	00	0	53	3	N	N	N	N	N	N	N	N	
London-North-Eastern	1231	LN3219	CAW	Cricklewood Curve Jn – Route Boundary (LOR EA1360) (Dudding Hill)	5	19	5	72	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3222	BDH	Brent Curve Jn – Route Boundary (EA1360) (Dudding Hill)	0	00	0	54	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3228	TCC	Trent East Jn – Trent East ELR Change	119	70	119	56	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3228	TES	Trent East ELR Change – Sheet Stores Jn	0	00	0	30	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3231	WGP	Wigston South Jn – Glen Parva Jn	95	37	96	07	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3232	WNS	Wigston North Jn – Route Boundary (MD232) (Nuneaton South Jn)	15	31	2	62	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3234	SEN	Syston East Jn – Syston North Jn	0	17	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3237	RUD	Loughborough South Jn – Network Rail/GCR (N) Boundary	92	45	92	49	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3240	LED	Little Eaton Jn – Denby	131	06	135	46	8	N	N	N	N	N	N	N	N	Line out of use NC/G1/2010/LNE/021
London-North-Eastern	1231	LN3246	AJM1	Ambergate Jn – Matlock	137	61	145	00	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3249	LSN	Lenton South Jn – Lenton North Jn	0	00	0	27	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3252	MJT1	Mansfield Jn – Radford Jn	124	22	125	55	8	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1231	LN3252	MJT2	Radford Jn – Trowell South Jn	125	55	130	51	8	Y	Y	Y	Y	Y	Y	Y	Y	
