London-North-Eastern	1192	Line of route	ELR	LineofRoute/SectorDescription		LineofRoute/SectorDescription	 M	 Ch	 M	 Ch	RA	37/7 37/9	43	47/2	47/4	47/7	56	57	Notes
London-North-Eastern	1192	LN3273	PBS3	MansfieldChangeofELR	Route Boundary (LN768) (Shireoaks East Jn)	MansfieldChangeofELR–RouteBoundary(LN768)(ShireoaksEastJn)	140	40	143	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3340	BJW3	RouteBoundary(MD340)(LichfieldTrentValley)	Wichnor Jn	RouteBoundary(MD340)(LichfieldTrentValley)–WichnorJn	19	00	23	33	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3501	DBP1	LondonRoadJn	Route Boundary (MD501) (Kingsbury Jn)	LondonRoadJn–RouteBoundary(MD501)(KingsburyJn)	0	00	23	30	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3505	NSS	NorthStaffordJn	Route Boundary (NW5012) (Stoke Jn)	NorthStaffordJn–RouteBoundary(NW5012)(StokeJn)	30	10	1	40	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3515	MJS1	MelbourneJn	Sinfin	MelbourneJn–Sinfin	131	15	130	37	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3520	SSJ1	SheetStoresJn	Change of ELR (Site of Former Chellaston East Jn)	SheetStoresJn–ChangeofELR(SiteofFormerChellastonEastJn)	119	62	127	20	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3520	MJS1	ChangeofELR(SiteofFormerChellastonEastJn)	Change of ELR (Site of Former Chellaston West Jn)	ChangeofELR(SiteofFormerChellastonEastJn)–ChangeofELR(SiteofFormerChellastonWestJn)	127	20	128	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3520	SSJ2	ChangeofELR(SiteofFormerChellastonWestJn)	Stenson Jn	ChangeofELR(SiteofFormerChellastonWestJn)–StensonJn	128	00	132	12	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3525	KSL	KnightonJn	Leicester Jn	KnightonJn–LeicesterJn	97	45	127	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3535	BCJ	BirminghamCurveJn	Branson Jn	BirminghamCurveJn–BransonJn	126	40	127	19	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3601	GSM1	KetteringNorthJn	Manton Jn	KetteringNorthJn–MantonJn	74	00	90	25	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3605	BSC	CorbyBSCWorks	Corby North	CorbyBSCWorks–CorbyNorth	2	05	0	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3610	BSC	CorbyAutomotiveTerminal	Corby North	CorbyAutomotiveTerminal–CorbyNorth	1	10	0	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3615	PMJ	RouteBoundary(LN147)	Uffington SB	RouteBoundary(LN147)–UffingtonSB	13	60	12	75	9	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3615	PMJ	UffingtonSB	Manton Jn	UffingtonSB–MantonJn	12	75	0	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3615	GSM2	MantonJn	Melton Jn	MantonJn–MeltonJn	90	25	105	70	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3615	GSM3	MeltonJn	Syston South Jn	MeltonJn–SystonSouthJn	113	36	103	77	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3620	GSM4	MeltonJnGF	Asfordby	MeltonJnGF–Asfordby	105	70	107	20	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3625	TSN1	NottinghamEastJn	Change of ELR (Nottingham East Jn)	NottinghamEastJn–ChangeofELR(NottinghamEastJn)	123	27	123	23	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3625	NOB1	ChangeofELR(NottinghamEastJn)	Route Boundary (LN206) (Coulson)	ChangeofELR(NottinghamEastJn)–RouteBoundary(LN206)(Coulson)	0	00	16	02	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3635	NOG1	RouteBoundary(LN195)(NottinghamBranchJn)	Rectory Jn SB	RouteBoundary(LN195)(NottinghamBranchJn)–RectoryJnSB	111	60	123	76	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3635	NOG1	RectoryJnSB	Change of ELR (Netherfield)	RectoryJnSB–ChangeofELR(Netherfield)	123	76	125	25	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1192	LN3635	NOG2	ChangeofELR(Netherfield)	Netherfield Jn	ChangeofELR(Netherfield)–NetherfieldJn	2	54	2	35	8	Y	Y	Y	Y	Y	Y	Y	
