Route	page	Line of Route	Line of Route / Sector Description	W6	W7	W8	W9	W9Plus	W10	W10A	W12	Notes
London-North-Eastern	1253	LN736	West Burton East Jn to West Burton West Jn East End Reception & Departure Lines	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1253	LN736	West Burton East Jn – West Burton West Jn West End Reception & Departure Lines	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1253	LN738	Great Coates No. 1 – Union Dock	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1253	LN740	Grimsby, Marsh West Jn – Humber Road Jn	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1253	LN740	Immingham East Jn – Immingham NR/ABP Boundary [ 106m 50ch ]	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1253	LN741	Habrough Jn – Ulceby South Jn	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1253	LN742	Killingholme – Brocklesby East & West Jns	Y	Y	Y	N	N	Y	N	Y	
London-North-Eastern	1253	LN744	Ulceby North Jn – Barton On Humber	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN746	Cottam Power Station Branch	Y	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN748	Retford Western Jn – Thrumpton West Jn	Y	Y	Y	Y	N	N	N	N	
London-North-Eastern	1253	LN750	Woodburn Jn – Deepcar	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN752	Wrawby Jn – Marshgate Jn	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1253	LN754	Scunthorpe Foreign Ore Branch	Y	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN756	Scunthorpe Trent Jn – Roxby	Y	Y	Y	N	N	N	N	N	
London-North-Eastern	1253	LN758	Brancliffe East Jn – St Catherine's Jn [ 14m 62ch ]	Y	Y	Y	R1	R1	R1	R1	R1	R1 PROHIBITED Brancliffe East Jn and Dinnington Jn
London-North-Eastern	1253	LN758	St Catherine's Jn [ 14m 62ch ] – Low Ellers Curve Jn [ 15m 55ch ]	Y	Y	Y	Y	N	Y	Y	N	
London-North-Eastern	1253	LN758	Low Ellers Curve Jn [15m 55ch] – Kirk Sandall Jn	Y	N	N	N	N	Y	Y	N	
London-North-Eastern	1253	LN758	Maltby Colliery Branch	Y	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN760	Firbeck Jn –– Harworth Colliery	Y	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN762	St. Catherines Jn – Decoy South Jn (St. Catherine's Curve)	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1253	LN764	Low Ellers Curve	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1253	LN766	Bentley Jn – Hexthorpe Jn (Doncaster Avoiding Line)	Y *	Y	Y	N	N	N	N	N	
London-North-Eastern	1253	LN768	Mansfield Woodhouse – Shireoaks East Jn	Y *	N	N	N	N	N	N	N	
London-North-Eastern	1253	LN772	Warsop Jn – Shirebrook Jn	Y	N	N	N	N	N	N	N	
