London-North-Eastern	1153	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	60	66	67	68	70	73	97/3	Notes
London-North-Eastern	1153	LN648	NWE	Norton-on-Tees West	Norton-on-Tees East	Norton-on-Tees West – Norton-on-Tees East	0	29	0	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN652	POC1	Billingham Jn	Phillips Siding Jn	Billingham Jn – Phillips Siding Jn	0	00	3	25	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN652	POC2	Phillips Siding Jn	Seal Sands Branch Jn	Phillips Siding Jn – Seal Sands Branch Jn	3	25	5	01	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN652	SES	Seal Sands Branch Jn	End of NR maintenance	Seal Sands Branch Jn – End of NR maintenance	0	00	2	44	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN656	SOT	Seaton Snook Jn	Seaton-on-Tees	Seaton Snook Jn – Seaton-on-Tees	0	00	1	51	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN662	HNB	Ryhope Grange	Hendon	Ryhope Grange – Hendon	0	00	1	53	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN664	BNW	Boldon East Jn	Boldon North Jn	Boldon East Jn – Boldon North Jn	0	00	0	20	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN666	BGE	Boldon West Jn	Boldon North Jn	Boldon West Jn – Boldon North Jn	0	00	0	32	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN666	GLT	Boldon North Jn	Tyne Dock	Boldon North Jn – Tyne Dock	0	32	1	26	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN670	JAW1	Pelaw Jn	Network Rail Boundary (Shell Mex Depot Jarrow)	Pelaw Jn – Network Rail Boundary (Shell Mex Depot Jarrow)	0	09	3	36	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN672	FEP	Wardley	Pelaw Jn	Wardley – Pelaw Jn	19	70	20	75	8	R1	R1	R1	R1	R1	R1	R1	R1 Line out of use (temporarily) NC/G1/2011/LNE/STNC/001
London-North-Eastern	1153	LN674	HLK	High Level Bridge Jn	Greensfield Jn (West Curve)	High Level Bridge Jn – Greensfield Jn (West Curve)	0	00	0	21	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN676	PLG1	Park Lane Jn	Site of Former High Street Jn	Park Lane Jn – Site of Former High Street Jn	100	65	101	15	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN676	PLG2	Site of Former High Street Jn	Greensfield Jn	Site of Former High Street Jn – Greensfield Jn	0	00	0	21	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN676	HLK	Greensfield Jn	King Edward Bridge South Jn	Greensfield Jn – King Edward Bridge South Jn	0	16	0	48	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN678	DAE1	Darlington North Jn	Site of Former Parkgate Jn	Darlington North Jn – Site of Former Parkgate Jn	44	36	44	64	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN678	DAE1	Site of Former Parkgate Jn	Shildon SB	Site of Former Parkgate Jn – Shildon SB	0	00	8	29	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN678	DAE2	Shildon SB	Bishop Auckland	Shildon SB – Bishop Auckland	8	29	11	23	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN682	NEC1	King Edward Bridge South Jn	Norwood Jn	King Edward Bridge South Jn – Norwood Jn	0	48	1	71	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN682	NEC1	Norwood Jn	Site of Former Blaydon East Jn	Norwood Jn – Site of Former Blaydon East Jn	1	71	5	28	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN682	NEC2	Site of Former Blaydon East Jn	Route Boundary (NW9909) (Petteril Bridge Jn)	Site of Former Blaydon East Jn – Route Boundary (NW9909) (Petteril Bridge Jn)	3	78	58	00	8	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1153	LN684	NLF	Low Fell Jn	Limit of Electrification	Low Fell Jn – Limit of Electrification	0	00	1	26	8	Y	Y	Y	R1	Y	Y	Y	R1 Prohibited Royal Mail Terminal platform
London-North-Eastern	1153	LN684	NLF	Limit of Electrification	Norwood Jn	Limit of Electrification – Norwood Jn	1	26	1	42	8	Y	Y	Y	Y	Y	Y	Y	
