Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	379	380	387	397	508	599	700	Notes
London-North-Eastern	1131	LN644	BOH	Hartburn Jn – Bowesfield SB (Hartburn Curve)	0	00	0	44	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN646	STF	Norton-on-Tees South – Ferryhill South Jn	0	00	10	72	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN648	NWE	Norton-on-Tees West – Norton-on- Tees East	0	29	0	00	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN652	POC1	Billingham Jn – Phillips Siding Jn	0	00	3	25	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN652	POC2	Phillips Siding Jn – Seal Sands Branch Jn	3	25	5	01	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN652	SES	Seal Sands Branch Jn – End of NR maintenance	0	00	2	44	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN656	SOT	Seaton Snook Jn – Seaton-on-Tees	0	00	1	51	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN662	HNB	Ryhope Grange – Hendon	0	00	1	53	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN664	BNW	Boldon East Jn – Boldon North Jn	0	00	0	20	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN666	BGE	Boldon West Jn – Boldon North Jn	0	00	0	32	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN666	GLT	Boldon North Jn – Tyne Dock	0	32	1	26	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN670	JAW1	Pelaw Jn – Network Rail Boundary (Shell Mex Depot Jarrow)	0	09	3	36	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN672	FEP	Wardley – Pelaw Jn	19	70	20	75	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN674	HLK	High Level Bridge Jn – Greensfield Jn (West Curve)	0	00	0	21	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN676	PLG1	Park Lane Jn – Site of former High Street Jn	100	65	101	15	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN676	PLG2	Site of former High Street Jn – Greensfield Jn	0	00	0	21	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN676	HLK	Greensfield Jn – King Edward Bridge South Jn	0	16	0	48	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN678	DAE1	Darlington North Jn – Site of former Parkgate Jn	44	36	44	64	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN678	DAE1	Site of former Parkgate Jn – Shildon SB	0	00	8	29	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN678	DAE2	Shildon SB – Bishop Auckland	8	29	11	23	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN682	NEC1	King Edward Bridge South Jn – Norwood Jn	0	48	1	71	N	N	N	N	N	N	N	
London-North-Eastern	1131	LN682	NEC1	Norwood Jn – Site of former Blaydon East Jn	1	71	5	28	N	N	N	N	N	N	N	
