Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	08	09	20	25	31/1 31/6	31/4	33	37/0 37/3 37/4 37/6	Notes
London-North-Eastern	1172	LN859	GRD	Greetland Jn – Dryclough Jn	1	11	0	00	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN860	MVL3	Route Boundary (NW7021) (Stalybridge Tunnel Jn) – Springwood Jn	15	11	25	20	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN860	MVL3	Springwood Jn – Change of ELR (Heaton Lodge Jn)	25	20	29	00	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN860	MVL3	Change of ELR (Heaton Lodge Jn) – Heaton Lodge Jn (Up line)	29	00	29	45	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN860	MVL4	Change of ELR (Heaton Lodge Jn) – Heaton Lodge East Jn (Down Line)	29	00	29	74	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN860	MVN2	Heaton Lodge Jn – Heaton Lodge East Jn	37	18	37	47	9	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN860	MVN2	Heaton Lodge East Jn – Thornhill LNW Jn	37	47	39	72	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN860	MDL1	Thornhill LNW Jn – Copley Hill East Jn	32	16	42	03	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN861	BBW	Bradley Jn – Bradley Wood Jn	0	00	1	17	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN862	PED2	Barnsley Station Jn – Site of Former Barnsley Jn	6	43	0	00	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN862	PED1	Site of Former Barnsley Jn – Site of Former Huddersfield Jn	29	13	28	37	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN862	PEH	Site of Former Huddersfield Jn – Lockwood	13	42	1	18	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN862	PEH	Lockwood – Springwood Jn	1	18	0	40	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN862	MVL3	Springwood Jn – Huddersfield	0	40	0	00	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN864	DRS1	Dewsbury Railway Street – Change of Mileage	0	10	0	00	6	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN864	DRS1	Change of Mileage – Dewsbury East Jn	0	27	0	00	6	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN868	SHB	Wincobank Jn – Site of Former Quarry Jn	161	52	173	48	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN868	PED2	Site of Former Quarry Jn – Barnsley Station Jn	7	50	6	43	8	Y	Y	Y	N	Y	Y	Y	Y	
London-North-Eastern	1172	LN868	BAH2	Barnsley Station Jn – Site of Former Crigglestone Jn	52	58	45	56	7	Y	Y	Y	N	Y	Y	Y	Y	
