Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	MK1	MK2	MK3	MK3 (MOD)	MK3 DVT	MK3 DVT (MOD)	MK4	MK5	MK5 A	Notes
London-North-Eastern	1147	LN758	BKS	Low Ellers Curve Jn – Kirk Sandall Jn	15	55	20	49	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN760	HAC	Firbeck Jn – Harworth Colliery	11	20	14	21	N	N	N	N	N	N	N	N	N	Line out of use (temporarily) until 09 May 2015 NC/G1/2011/LNE/STNC/002
London-North-Eastern	1147	LN762	YDS	St Catherines Jn – Decoy South Jn (St Catherines Curve)	15	17	15	71	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1147	LN764	UDS	Low Ellers Curve Jn – Potteric Carr Jn	15	55	16	56	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN766	HJB	Bentley Jn – Hexthorpe Jn (Doncaster Avoiding line)	3	24	0	00	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1147	LN768	PSE	Route Boundary (LN3273) (Mansfield) – Shireoaks East Jn	143	00	154	30	Y	Y	Y	N	N	N	N	N	N	
London-North-Eastern	1147	LN772	SWP	Warsop Jn – Shirebrook Jn	0	00	0	45	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN774	BAC2	Barrow Hill North Jn – Seymour Jn SB	149	53	152	21	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN774	BAC3	Seymour Jn SB – Oxcroft Disposal Point	155	06	0	78	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN776	HLF1	Hall Lane Jn – Change of ELR	0	44	0	00	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN776	HLF2	Change of ELR – Foxlow Jn	150	47	150	64	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN778	BOC1	Seymour Jn – Bolsover	7	51	5	21	R1	R1	N	N	N	N	N	N	N	R1 Line out of use between Site of former Markham Colliery Jn and Bolsover NC/G1/2010/LNE/020V
London-North-Eastern	1147	LN782	SHW	Woodend Jn – Shireoaks West Jn	153	71	154	36	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN784	HIM	High Marnham – Thoresby Colliery Jn	27	48	17	16	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN784	HIM	Thoresby Colliery Jn – Warsop Jn	17	16	10	59	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN784	HIM	Warsop Jn – Shirebrook South Jn	10	59	10	19	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN784	HIM	Shirebrook South Jn – Shirebrook East Jn	10	19	9	72	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN786	BEC	Boughton Jn – Network Rail Boundary (Bevercotes Colliery)	0	00	4	22	N	N	N	N	N	N	N	N	N	Line out of use from 01m 0ch to Network Rail Boundary (Bevercotes Colliery) LN213/PJ1037
London-North-Eastern	1147	LN788	TYC	Thoresby Colliery Jn – Thoresby Colliery	0	00	0	42	Y	Y	N	N	N	N	N	N	N	
London-North-Eastern	1147	LN802	WKC	Welbeck Colliery Jn – Network Rail Boundary (RJB)	0	00	2	63	Y	Y	N	N	N	N	N	N	N	
