Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1121	LN850	WWK	Wakefield Westgate South Jn – Wakefield Kirkgate West Jn	0	00	0	26	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN852	LBE1	Holbeck Jn – Site of former Laisterdyke East Jn	0	02	6	49	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN852	LBE2	Site of former Laisterdyke East Jn – Site of former Laisterdyke West Jn	190	24	190	60	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN852	LBE3	Site of former Laisterdyke West Jn – Site of former Hammerton Street Jn	190	60	191	30	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN852	LBE4	Site of former Hammerton Street Jn – Mill Lane Jn	191	30	191	75	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN852	MRB	Mill Lane Jn – Bradford Interchange	40	01	40	27	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	MVN2	Route Boundary (NW7001) (Hall Royd Jn) – Turners Lane Jn	22	62	48	33	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	MVN2	Turners Lane Jn – Site of former Goose Hill Jn	48	33	50	31	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	TJC3	Site of former Goose Hill Jn – Altofts Jn	184	56	186	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	NOC	Altofts Jn – Sherburn Jn	23	57	13	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	NOC	Sherburn Jn – Colton Jn	13	20	5	41	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	ECM4	Colton Jn – Holgate Jn	182	79	188	07	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	ECM4	Holgate Jn – York	188	07	188	40	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN854	ECM5	York – Skelton Jn	0	00	1	50	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN858	MRB	Milner Royd Jn – Mill Lane Jn	29	20	40	01	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN859	GRD	Greetland Jn – Dryclough Jn	1	11	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN860	MVL3	Route Boundary (NW7021) (Stalybridge Tunnel Jn) – Springwood Jn	15	11	25	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN860	MVL3	Springwood Jn – Change of ELR (Heaton Lodge Jn)	25	20	29	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN860	MVL4	Change of ELR (Heaton Lodge Jn) – Heaton Lodge Jn (Up line)	29	00	29	45	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN860	MVL4	Change of ELR (Heaton Lodge Jn) – Heaton Lodge East Jn (Down Line)	29	00	29	74	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1121	LN860	MVN2	Heaton Lodge Jn – Heaton Lodge East Jn	37	18	37	47	H	N	N	N	N	N	N	N	N	N	
