Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1113	LN600	ECM5	Birtley Jn – Low Fell Jn (including via Tyne Yard)	75	26	77	37	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN600	ECM5	Low Fell Jn – King Edward Bridge South Jn	77	37	79	42	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN600	ECM5	King Edward Bridge South Jn – Newcastle West Jn	79	42	80	05	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN600	ECM6	Newcastle West Jn – Newcastle	80	05	80	16	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN600	ECM7	Newcastle – Newcastle East Jn	0	00	0	14	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN600	ECM7	Newcastle East Jn – Heaton South Jn	0	14	1	65	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN600	ECM7	Heaton South Jn – Route Boundary (SC147) (Prestonpans Jn)	1	65	69	67	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN618	HOS	Holgate Jn – Skelton Jn via York Yard South	0	00	1	54	Y	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN620	KEB	King Edward Bridge East Jn – King Edward Bridge North Jn (East Curve)	0	00	0	13	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN622	NEN1	Newcastle Forth Jn – Forth Banks	0	11	0	73	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN624	REB4	Northallerton Castle Hills Jn – Network Rail Boundary (Wensleydale Railway)	0	04	0	18	N	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN626	LEN2	Northallerton High Jn – Northallerton East Jn	0	00	0	36	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LLP1	Longlands Jn (Down Line) – Boroughbridge Road LC	28	58	29	72	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LLP3	Longlands Jn (Up Line) – Boroughbridge Road LC	0	69	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LLP2	Boroughbridge Road LC – Northallerton East Jn	42	21	42	79	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LEN3	Northallerton East Jn – Billingham Jn	42	79	63	69	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LEN3	Billingham Jn – Ryhope Grange Jn	63	69	87	63	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LEN3	Ryhope Grange Jn – Sunderland South Jn	87	63	89	56	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LEN3	Sunderland South Jn – Boldon East Jn	89	56	94	63	H R1	N	N	N	N	N	N	N	N	N	R1 OPPOS applies between Monkwearmouth Jn and East Boldon
London-North-Eastern	1113	LN627	LEN3	Boldon East Jn – Boldon West Jn	94	63	95	16	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1113	LN627	LEN3	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	H	N	N	N	N	N	N	N	N	N	
