Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	325	333	345	357	357 MOD	360	365	377	378	387	Notes
London-North-Eastern	1119	LN804	SMJ1	Swinton Jn North – Site of former Wath Curve Jn	167	03	168	64	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN804	SMJ2	Site of former Wath Curve Jn – Ferrybridge South Jn	17	15	2	38	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN804	SMJ2	Ferrybridge South Jn – Site of former Burton Salmon Jn	2	38	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN804	SMJ3	Site of former Burton Salmon Jn – Milford Jn	16	69	15	07	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN804	MGW	Milford Jn – Gascoigne Wood SB	7	65	6	27	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN806	CHR	Route Boundary (LN3201) (Tapton Jn) – Masborough Jn	146	64	162	24	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN807	MAS	Dore South Jn – Dore West Jn	153	73	154	16	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN808	DWS	Dore Station Jn – Dore West Jn	0	60	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN808	MAS	Dore West Jn – Route Boundary (NW9001) (Chinley North Jn)	154	16	154	20	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN809	BTJ	Shepcote Lane West Jn – Tinsley Yard East End	161	24	160	52	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN810	SEL	Shepcote Lane West Jn – Tinsley South Jn	161	24	161	63	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN812	BLJ	Shepcote Lane East Jn – Broughton Lane Jn	161	20	161	67	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN816	BEW	Beighton Jn – Woodhouse Jn	48	06	46	56	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN818	HCD	Holmes Jn – Rotherham Central Jn	0	00	0	62	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN824	SKM	Moorthorpe Jn – South Kirkby Jn	0	57	0	05	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN826	PED5	South Yorkshire Jn – Mexborough Jn	22	57	15	64	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN826	SJM2	Mexborough Jn – Site of former Mexborough North Jn	15	64	14	78	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN826	SJM1	Site of former Mexborough North Jn – Swinton Jn South	167	15	166	56	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN828	WME	Mexborough Jn – Aldwarke Jn	10	17	7	26	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN830	WME	Aldwarke Jn – Woodburn Jn	7	25	0	00	H	N	N	N	N	N	N	N	N	N	
London-North-Eastern	1119	LN832	SJB	Doncaster, Bridge Jn – St. James Jn	22	54	22	38	H	N	N	N	N	N	N	N	N	N	
