London-North-Eastern	1148	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	M	Ch	M	Ch	RA	37/5	37/7 37/9	43	47/2	47/4	47/7	56	57	58	59	Notes
London-North-Eastern	1148	LN842	CJS	Thorpe Marsh Jn	Applehurst Jn	Thorpe Marsh Jn – Applehurst Jn	163	76	163	27	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN842	CJS	Applehurst Jn	Skellow Jn	Applehurst Jn – Skellow Jn	163	27	160	59	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN842	SKA	Skellow Jn	Adwick Jn	Skellow Jn – Adwick Jn	0	61	0	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN844	JCA	Applehurst Jn	Joan Croft Jn	Applehurst Jn – Joan Croft Jn	0	49	0	00	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN846	CJS	Carcroft Jn	Skellow Jn	Carcroft Jn – Skellow Jn	160	08	160	59	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN848	HPC	Hare Park Jn	Crofton West Jn	Hare Park Jn – Crofton West Jn	171	70	173	22	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN850	WWK	Wakefield Westgate South Jn	Wakefield Kirkgate West Jn	Wakefield Westgate South Jn – Wakefield Kirkgate West Jn	0	00	0	26	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN852	LBE1	Holbeck Jn	Site of Former Laisterdyke East Jn	Holbeck Jn – Site of Former Laisterdyke East Jn	0	02	6	49	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN852	LBE2	Site of Former Laisterdyke East Jn	Site of Former Laisterdyke West Jn	Site of Former Laisterdyke East Jn – Site of Former Laisterdyke West Jn	190	24	190	60	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN852	LBE3	Site of Former Laisterdyke West Jn	Site of Former Hammerton Street Jn	Site of Former Laisterdyke West Jn – Site of Former Hammerton Street Jn	190	60	191	30	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN852	LBE4	Site of Former Hammerton Street Jn	Mill Lane Jn	Site of Former Hammerton Street Jn – Mill Lane Jn	191	30	191	75	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN852	MRB	Mill Lane Jn	Bradford Interchange	Mill Lane Jn – Bradford Interchange	40	01	40	27	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN854	MVN2	Route Boundary (NW7001) (Hall Royd Jn)	Turners Lane Jn	Route Boundary (NW7001) (Hall Royd Jn) – Turners Lane Jn	22	62	48	33	9	Y	Y	R1	Y	Y	Y	Y	Y	Y	Y	R1 30mph Brighouse platform (disused) Down Main (34m 19ch)
London-North-Eastern	1148	LN854	MVN2	Turners Lane Jn	Site of Former Goose Hill Jn	Turners Lane Jn – Site of Former Goose Hill Jn	48	33	50	31	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN854	TJC3	Site of Former Goose Hill Jn	Altofts Jn	Site of Former Goose Hill Jn – Altofts Jn	184	56	186	00	8	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN854	NOC	Altofts Jn	Sherburn Jn	Altofts Jn – Sherburn Jn	23	57	13	20	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN854	NOC	Sherburn Jn	Colton Jn	Sherburn Jn – Colton Jn	13	20	5	41	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN854	ECM4	Colton Jn	Holgate Jn	Colton Jn – Holgate Jn	182	79	188	07	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN854	ECM4	Holgate Jn	York	Holgate Jn – York	188	07	188	40	9	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN854	ECM5	York	Skelton Jn * York platform 2 RA3, platform 4 RA8 and platform 5 RA8	York – Skelton Jn * York platform 2 RA3, platform 4 RA8 and platform 5 RA8	0	00	1	50	9 *	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1148	LN858	MRB	Milner Royd Jn	Mill Lane Jn	Milner Royd Jn – Mill Lane Jn	29	20	40	01	8	R1 R2	R1 R2	R2	R2	R2	R2	R2	R2	R2	R2	R1 Locos with roof mounted air horns must not exceed 5mph when passing in the Down direction under bridge No. 10 at 31m 70ch R2 10mph over bridge MRB/58 between 39m 50ch and 39m 56ch
