London-North-Eastern	1074	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	379	380	387	397	508	599	700	Notes
London-North-Eastern	1074	LN101	ECM1	Kings Cross	Copenhagen Jn	Kings Cross – Copenhagen Jn	0	00	0	64	N	N	N	N	N	N	Y	
London-North-Eastern	1074	LN101	ECM1	Copenhagen Jn	Holloway South / North Jns	Copenhagen Jn – Holloway South / North Jns	0	64	1	44	N	N	E	N	EH	N	Y	
London-North-Eastern	1074	LN101	ECM1	Holloway South / North Jns	Wood Green North Jn	Holloway South / North Jns – Wood Green North Jn	1	44	5	07	E R1 R2	N	E R2	N	EH	N	Y	R8 Prohibited between Holloway South / North Jns and Finsbury Park R9 Prohibited between Hornsey and Wood Green North Jn
London-North-Eastern	1074	LN101	ECM1	Wood Green North Jn	Langley Jn	Wood Green North Jn – Langley Jn	5	07	25	73	N	N	N	N	N	N	Y	
London-North-Eastern	1074	LN101	ECM1	Langley Jn	St Neots	Langley Jn – St Neots	25	73	51	58	N	N	N	N	N	N	Y	
London-North-Eastern	1074	LN101	ECM1	St Neots	Fletton Jn	St Neots – Fletton Jn	51	58	75	02	N	N	N	N	N	N	Y	
London-North-Eastern	1074	LN101	ECM1	Fletton Jn	Peterborough	Fletton Jn – Peterborough	75	02	76	29	N	N	N	N	N	N	Y	
London-North-Eastern	1074	LN101	ECM1	Peterborough	Newark North Gate	Peterborough – Newark North Gate	76	29	120	08	N	N	N	N	N	N	R1	R2 Prohibited Werrington Jn - Newark North Gate
London-North-Eastern	1074	LN101	PMJ	Peterborough	Helpston Jn via Stamford lines	Peterborough – Helpston Jn via Stamford lines	22	19	16	71	N	N	N	N	N	N	N	
London-North-Eastern	1074	LN101	ECM1	Newark North Gate	Retford	Newark North Gate – Retford	120	08	138	49	N	N	N	N	N	N	N	
London-North-Eastern	1074	LN101	ECM1	Retford	Loversall Carr Jn	Retford – Loversall Carr Jn	138	49	150	00	N	N	N	N	N	N	N	
London-North-Eastern	1074	LN101	ECM1	Loversall Carr Jn	Marshgate Jn	Loversall Carr Jn – Marshgate Jn	152	00	156	26	N	EH R1	N	E R2	N	N	N	R4 Prohibited between Loversall Carr Jn and Doncaster R5 Prohibited between Loversall Carr Jn and Potteric Carr Jn
London-North-Eastern	1074	LN101	ECM1	Marshgate Jn	Shaftholme Jn	Marshgate Jn – Shaftholme Jn	156	26	160	16	N	EH	N	E	N	N	N	
London-North-Eastern	1074	LN105	MEB1	Moorgate	Drayton Park	Moorgate – Drayton Park	0	00	2	56	N	N	N	N	N	N	N	
London-North-Eastern	1074	LN105	MEB1	Drayton Park	Finsbury Park Jn	Drayton Park – Finsbury Park Jn	2	56	3	37	N	N	N	N	N	N	N	
London-North-Eastern	1074	LN110	CFP	Route Boundary (EA1320) (Canonbury West Jn)	Finsbury Park Jn	Route Boundary (EA1320) (Canonbury West Jn) - Finsbury Park Jn	3	20	4	33	E	N	E	N	EH	N	E	
