Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	RA	86	87	88	90	91	92	Notes
London-North-Eastern	1221	LN600	ECM7	Newcastle – Newcastle East Jn	0	00	0	14	9	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1221	LN600	ECM7	Newcastle East Jn – Heaton South Jn	0	14	1	65	9	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1221	LN600	ECM7	Heaton South Jn – Route Boundary (SC147) (Prestonpans Jn)	1	65	69	67	9	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1221	LN618	HOS	Holgate Jn – Skelton Jn via York Yard South	0	00	1	54	9	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1221	LN620	KEB	King Edward Bridge East Jn – King Edward Bridge North Jn (East Curve)	0	00	0	13	9	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1221	LN622	NEN1	Newcastle Forth Jn – Forth Banks	0	11	0	73	8	N	N	Y	N	N	N	
London-North-Eastern	1221	LN624	REB4	Northallerton Castle Hills Jn – Network Rail Boundary (Wensleydale Railway)	0	04	0	18	8	N	N	Y	N	N	N	
London-North-Eastern	1221	LN626	LEN2	Northallerton High Jn – Northallerton East Jn	0	00	0	36	8	H	H	Y	H	H	N	
London-North-Eastern	1221	LN627	LLP1	Longlands Jn (Down Line) – Boroughbridge Road LC	28	58	29	72	8	H	H	Y	H	H	N	
London-North-Eastern	1221	LN627	LLP3	Longlands Jn (Up Line) – Boroughbridge Road LC	0	69	0	00	8	H	H	Y	H	H	N	
London-North-Eastern	1221	LN627	LLP2	Boroughbridge Road LC – Northallerton East Jn	42	21	42	79	8	H	H	Y	H	H	N	
London-North-Eastern	1221	LN627	LEN3	Northallerton East Jn – Billingham Jn	42	79	63	69	8	H	H	Y	H	H	N	
London-North-Eastern	1221	LN627	LEN3	Billingham Jn – Ryhope Grange Jn	63	69	87	63	8	H R1	H R1	Y	H R1	H R1 R2	N	R1 Prohibited Hartlepool Down Bay platform 3 R2 Prohibited Hartlepool Up (disused) platform
London-North-Eastern	1221	LN627	LEN3	Ryhope Grange Jn – Sunderland South Jn	87	63	89	56	8	N	N	Y	N	H	N	
London-North-Eastern	1221	LN627	LEN3	Sunderland South Jn – Boldon East Jn	89	56	94	63	8	H R1	H R1	Y	H R1	H	N	R1 Prohibited between Sunderland South Jn and East Boldon
London-North-Eastern	1221	LN627	LEN3	Boldon East Jn – Boldon West Jn	94	63	95	16	8	H	H	Y	H	H	N	
London-North-Eastern	1221	LN627	LEN3	Boldon West Jn – Pelaw Metro Jn	95	16	97	64	8	H	H	Y	H	H	N	
London-North-Eastern	1221	LN627	LEN3	Pelaw Metro Jn – Park Lane Jn	97	64	100	65	8	H	H	Y	H	H R1	N	R1 20mph Heworth down platform
London-North-Eastern	1221	LN627	LEN3	Park Lane Jn – High Level Bridge Jn	100	65	101	33	8	H	H	Y	H	H	N	
