London-North-Eastern	1223	Line of route	ELR	Line of Route / Sector Description		Line of Route / Sector Description	 M	 Ch	 M	 Ch	RA	Loco Gauge	Notes
London-North-Eastern	1223	LN736	MAC3	Thrumpton West Jn (Up)	Manton Wood	Thrumpton West Jn (Up) – Manton Wood	63	28	58	54	8	Y	
London-North-Eastern	1223	LN736	MAC3	Manton Wood	Brancliffe East Jn	Manton Wood – Brancliffe East Jn	58	54	53	57	8	Y	
London-North-Eastern	1223	LN736	MAC3	Brancliffe East Jn	Woodburn Jn	Brancliffe East Jn – Woodburn Jn	53	57	42	29	8	Y	
London-North-Eastern	1223	LN736	NUJ2	Woodburn Jn	Site of Former Nunnery Jn	Woodburn Jn – Site of Former Nunnery Jn	42	29	41	68	8	Y	
London-North-Eastern	1223	LN736	NUJ1	Site of Former Nunnery Jn	Nunnery Main Line Jn	Site of Former Nunnery Jn – Nunnery Main Line Jn	159	33	158	77	8	Y	
London-North-Eastern	1223	LN738	MWN	Great Coates No. 1	Network Rail Boundary (ABP)	Great Coates No. 1 – Network Rail Boundary (ABP)	108	34	108	44	8	Y	
London-North-Eastern	1223	LN740	MWN	Marsh West Jn	Network Rail Boundary (ABP)	Marsh West Jn – Network Rail Boundary (ABP)	107	69	108	44	8	Y	
London-North-Eastern	1223	LN740	PYE2	Network Rail Boundary (ABP)	Site of Former Queens Road Jn	Network Rail Boundary (ABP) – Site of Former Queens Road Jn	4	33	0	00	8	Y	
London-North-Eastern	1223	LN740	PYE1	Site of Former Queens Road Jn	Immingham East Jn	Site of Former Queens Road Jn – Immingham East Jn	106	50	106	31	8	Y	
London-North-Eastern	1223	LN740	BRI2	Immingham East Jn	Humber Road Jn	Immingham East Jn – Humber Road Jn	106	31	104	05	8	Y	
London-North-Eastern	1223	LN741	HAU	Habrough	Ulceby South Jn	Habrough – Ulceby South Jn	0	32	1	45	8	Y	
London-North-Eastern	1223	LN742	KIL2	Killingholme	Immingham West Change of Mileage	Killingholme – Immingham West Change of Mileage	2	70	0	00	8	Y	
London-North-Eastern	1223	LN742	KIL1	Immingham West Change of Mileage	Humber Rd Jn	Immingham West Change of Mileage – Humber Rd Jn	105	10	104	05	8	Y	
London-North-Eastern	1223	LN742	BRI2	Humber Rd Jn	Ulceby North Jn	Humber Rd Jn – Ulceby North Jn	104	05	100	44	8	Y	
London-North-Eastern	1223	LN742	BRI1	Ulceby North Jn	Brocklesby West Jn	Ulceby North Jn – Brocklesby West Jn	100	44	99	20	8	Y	
London-North-Eastern	1223	LN744	BAR	Ulceby North Jn	Barton on Humber	Ulceby North Jn – Barton on Humber	100	44	110	18	8	Y	
London-North-Eastern	1223	LN746	TYB1	Cottam Power Station	Clarborough Jn	Cottam Power Station – Clarborough Jn	71	79	68	32	8	Y	
London-North-Eastern	1223	LN748	WHR	Retford Western Jn	Thrumpton West Jn	Retford Western Jn – Thrumpton West Jn	64	29	63	28	8	Y	
London-North-Eastern	1223	LN750	MAC3	Woodburn Jn	Deepcar	Woodburn Jn – Deepcar	42	29	33	35	8	Y	
London-North-Eastern	1223	LN752	DOW	Wrawby Jn	Marshgate Jn	Wrawby Jn – Marshgate Jn	33	34	0	03	8	R1	R1 Prohibited Scunthorpe Up bay platform
London-North-Eastern	1223	LN754	SAN	Scunthorpe Foreign Ore Branch	0	Scunthorpe Foreign Ore Branch – 0	0	00	1	16	10	Y	
