Route	page	Line of route	ELR	Line of Route / Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	1052	LN842	CJS	Thorpe Marsh Jn – Applehurst Jn	163	76	163	27	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN842	CJS	Applehurst Jn – Skellow Jn	163	27	160	59	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN842	SKA	Skellow Jn – Adwick Jn	0	61	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN844	JCA	Applehurst Jn – Joan Croft Jn	0	49	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN846	CJS	Carcroft Jn – Skellow Jn	160	08	160	59	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN848	HPC	Hare Park Jn – Crofton West Jn	171	70	173	22	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN850	WWK	Wakefield Westgate South Jn – Wakefield Kirkgate West Jn	0	00	0	26	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN852	LBE1	Holbeck Jn – Site of Former Laisterdyke East Jn	0	02	6	49	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN852	LBE2	Site of Former Laisterdyke East Jn – Site of Former Laisterdyke West Jn	190	24	190	60	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN852	LBE3	Site of Former Laisterdyke West Jn – Site of Former Hammerton Street Jn	190	60	191	30	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN852	LBE4	Site of Former Hammerton Street Jn – Mill Lane Jn	191	30	191	75	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN852	MRB	Mill Lane Jn – Bradford Interchange	40	01	40	27	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	MVN2	Route Boundary (NW7001) (Hall Royd Jn) – Turners Lane Jn	22	62	48	33	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	MVN2	Turners Lane Jn – Site of Former Goose Hill Jn	48	33	50	31	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	TJC3	Site of Former Goose Hill Jn – Altofts Jn	184	56	186	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	NOC	Altofts Jn – Sherburn Jn	23	57	13	20	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	NOC	Sherburn Jn – Colton Jn	13	20	5	41	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	ECM4	Colton Jn – Holgate Jn	182	79	188	07	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	ECM4	Holgate Jn – York	188	07	188	40	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN854	ECM5	York – Skelton Jn	0	00	1	50	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN858	MRB	Milner Royd Jn – Mill Lane Jn	29	20	40	01	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN859	GRD	Greetland Jn – Dryclough Jn	1	11	0	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN860	MVL3	Route Boundary (NW7021) (Stalybridge Tunnel Jn) – Springwood Jn	15	11	25	20	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN860	MVL3	Springwood Jn – Change of ELR (Heaton Lodge Jn)	25	20	29	00	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	1052	LN860	MVL3	Change of ELR (Heaton Lodge Jn) – Heaton Lodge Jn (Up line)	29	00	29	45	Y	Y	Y	Y	Y	Y	Y	Y	Y	
